match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913916,116,10,6.0,10,1,64,80758.0,89.2,47.7,,,MissedShots,Missed,,45.7,69.4,,,"[{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""45.7""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""114""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""69.4""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913916,131,12,2.0,12,1,64,448514.0,71.6,41.1,,,MissedShots,Missed,,66.1,29.2,,,"[{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""29.2""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""129""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""66.1""}]"
1913916,164,16,44.0,16,1,64,386230.0,92.5,44.3,,,MissedShots,Missed,,38.5,13.9,,,"[{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""38.5""},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""163""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""13.9""}]"
1913916,166,17,9.0,17,1,64,386230.0,96.3,44.5,,,Goal,Goal,,48.7,1.3,,,"[{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.7""},{""type"":{""value"":60,""displayName"":""SmallBoxRight""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""1.3""}]"
1913916,176,19,12.0,19,1,64,135345.0,97.1,49.4,,,Goal,Goal,,49.2,18.4,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""175""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""18.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":16,""displayName"":""SmallBoxCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.2""}]"
1913916,209,23,2.0,23,1,2783,318505.0,78.1,31.1,,,MissedShots,Missed,,56.6,6.9,,,"[{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""208""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""56.6""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""6.9""}]"
1913916,237,27,48.0,27,1,2783,443540.0,75.4,35.4,,,SavedShot,Saved,,49.2,19.0,,,"[{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""80.8""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""38.4""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.2""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""225""}]"
1913916,325,44,59.0,44,1,64,422959.0,88.5,50.0,,,Goal,Goal,,46.5,3.2,,,"[{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":9,""displayName"":""Penalty""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.2""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":214,""displayName"":""BigChance""}}]"
1913916,353,48,3.0,48,1,64,422963.0,88.1,59.7,,,SavedShot,Saved,,47.6,3.8,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""397""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.4""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.8""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""56.7""},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.6""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""352""},{""type"":{""value"":80,""displayName"":""LowRight""}}]"
1913916,384,50,18.0,50,1,64,422959.0,87.5,41.1,,,MissedShots,Missed,,34.5,2.8,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""94.9""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.8""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""382""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""34.5""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""43.7""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":75,""displayName"":""MissRight""}}]"
