match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913892,39,2,20.0,2,1,839,362735.0,93.7,46.2,,,MissedShots,Missed,,56.3,61.1,,,"[{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""38""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""61.1""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""56.3""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}}]"
1913892,70,4,42.0,4,1,839,448209.0,90.5,60.3,,,MissedShots,Missed,,63.7,56.9,,,"[{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""69""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""56.9""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""63.7""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}}]"
1913892,104,8,16.0,8,1,839,399047.0,74.4,37.7,,,SavedShot,Saved,,49.5,19.0,,,"[{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""77""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""81.5""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.5""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""41.0""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""103""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913892,123,9,45.0,9,1,839,239872.0,88.8,30.5,,,SavedShot,Saved,,52.6,17.7,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.6""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""85""},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""47.3""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":160,""displayName"":""ThrowinSetPiece""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""122""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""17.7""}]"
1913892,132,10,20.0,10,1,839,97659.0,81.6,53.4,,,SavedShot,Saved,,47.2,7.6,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""88""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""131""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""7.6""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.2""}]"
1913892,109,13,43.0,13,1,61,25964.0,88.5,50.0,,,SavedShot,Saved,,52.3,2.5,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.4""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""99.9""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""146""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.5""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.3""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":9,""displayName"":""Penalty""}}]"
1913892,137,18,26.0,18,1,61,25964.0,95.2,58.1,,,MissedShots,Missed,,53.8,59.7,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""135""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""53.8""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""59.7""},{""type"":{""value"":61,""displayName"":""SmallBoxLeft""}}]"
1913892,204,19,35.0,19,1,839,448209.0,89.6,69.8,,,MissedShots,Missed,,41.8,19.4,,,"[{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19.4""},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""96.2""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""203""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.0""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""41.8""}]"
1913892,217,21,28.0,21,1,839,239872.0,90.6,37.9,,,SavedShot,Saved,,49.1,5.1,,,"[{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""216""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""95.0""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""43.5""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""166""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""5.1""}]"
1913892,223,22,50.0,22,1,839,362735.0,93.0,55.5,,,MissedShots,Missed,,56.5,66.7,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""221""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""56.5""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""66.7""},{""type"":{""value"":15,""displayName"":""Head""}}]"
