match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913913,17,1,37.0,1,1,832,407567.0,88.6,55.8,,,SavedShot,Saved,,50.5,19.0,,,"[{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""90.2""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.5""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""16""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""55.1""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""19""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913913,112,14,30.0,14,1,832,407567.0,71.5,51.5,,,MissedShots,Missed,,4.4,8.3,,,"[{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""111""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""76.3""},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""44.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""8.3""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""4.4""}]"
1913913,230,25,40.0,25,1,60,280060.0,90.8,47.6,,,MissedShots,Missed,,50.1,66.7,,,"[{""type"":{""value"":24,""displayName"":""SetPiece""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.1""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""229""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""66.7""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913913,227,34,23.0,34,1,832,407567.0,87.2,34.8,,,SavedShot,Saved,,49.8,4.4,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""4.4""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""46.9""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""225""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""300""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.6""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.8""}]"
1913913,311,35,14.0,35,1,60,280060.0,90.8,42.1,,,SavedShot,Saved,,49.3,19.0,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""233""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""309""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""43.1""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.3""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.1""},{""type"":{""value"":78,""displayName"":""LowCentre""}}]"
1913913,317,35,56.0,35,1,60,280060.0,95.6,52.6,,,Goal,Goal,,53.1,18.4,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""316""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""53.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":16,""displayName"":""SmallBoxCentre""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""18.4""}]"
1913913,363,40,41.0,40,1,60,303268.0,76.2,46.6,,,MissedShots,Missed,,51.3,83.3,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.3""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""83.3""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""362""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913913,385,42,39.0,42,1,60,462861.0,89.3,34.6,,,MissedShots,Missed,,59.2,45.8,,,"[{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""384""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""59.2""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""45.8""},{""type"":{""value"":72,""displayName"":""LeftFoot""}}]"
1913913,422,47,0.0,47,1,60,409467.0,77.4,62.2,,,MissedShots,Missed,,27.2,18.1,,,"[{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""27.2""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""18.1""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913913,354,47,37.0,52,2,832,388808.0,76.6,67.2,,,SavedShot,Saved,,50.2,19.0,,,"[{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""59.4""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""462""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""87.3""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.2""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""353""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
