match_id,team_side,team_id,team_name,player_id,player_name,isFirstEleven,position,shirtNo,height,weight,age,rating,isManOfTheMatch
1913913,home,60,Deportivo Alaves,141044,Antonio Sivera,True,GK,1,184,75,29,6.48,False
1913913,home,60,Deportivo Alaves,115917,Jonny,True,DR,17,175,70,31,6.63,False
1913913,home,60,Deportivo Alaves,337454,Facundo Garcés,True,DC,2,191,82,25,6.67,False
1913913,home,60,Deportivo Alaves,347874,Nahuel Tenaglia,True,DC,14,180,73,29,7.61,False
1913913,home,60,Deportivo Alaves,463966,Victor Parada,True,DL,24,185,76,23,6.44,False
1913913,home,60,Deportivo Alaves,409467,Antonio Blanco,True,DMC,8,176,70,25,7.32,False
1913913,home,60,Deportivo Alaves,462861,Carlos Vicente,True,MR,7,179,72,26,6.61,False
1913913,home,60,Deportivo Alaves,335041,Jon Guridi,True,MC,18,179,64,30,6.2,False
1913913,home,60,Deportivo Alaves,444254,Pablo Ibáñez,True,MC,19,179,74,26,6.45,False
1913913,home,60,Deportivo Alaves,303268,Carles Aleñá,True,ML,10,180,70,27,7.3,False
1913913,home,60,Deportivo Alaves,280060,Toni Martínez,True,FW,11,187,83,28,7.88,True
1913913,home,60,Deportivo Alaves,447835,Abde Rebbach,,Sub,21,176,68,27,6.41,False
1913913,home,60,Deportivo Alaves,397568,Calebe,,Sub,20,173,67,25,6.43,False
1913913,home,60,Deportivo Alaves,323236,Mariano Díaz,,Sub,9,180,76,32,6.25,False
1913913,home,60,Deportivo Alaves,344120,Ander Guevara,,Sub,6,180,73,28,6.09,False
1913913,home,60,Deportivo Alaves,519969,Youssef Enríquez,,Sub,3,175,68,19,6.1,False
1913913,home,60,Deportivo Alaves,375342,Moussa Diarra,,Sub,22,185,73,24,,False
1913913,home,60,Deportivo Alaves,467133,Grégoire Swiderski,,Sub,31,187,72,19,,False
1913913,home,60,Deportivo Alaves,50044,Nikola Maras,,Sub,4,189,79,29,,False
1913913,home,60,Deportivo Alaves,33451,Raúl Fernández,,Sub,13,195,92,37,,False
1913913,home,60,Deportivo Alaves,362393,Carlos Protesoni,,Sub,23,185,76,27,,False
1913913,home,60,Deportivo Alaves,561841,Lander Pinillos,,Sub,28,0,0,21,,False
1913913,away,832,Levante,411636,Pablo Campos,True,GK,1,188,78,23,6.69,False
1913913,away,832,Levante,129620,Jeremy Toljan,True,DR,22,182,74,31,6.62,False
1913913,away,832,Levante,299752,Unai Elgezabal,True,DC,5,185,74,32,6.87,False
1913913,away,832,Levante,383780,Adrián de la Fuente,True,DC,4,179,77,26,5.95,False
1913913,away,832,Levante,518057,Jorge Cabello,True,DC,14,180,71,21,5.59,False
1913913,away,832,Levante,374813,Manu Sánchez,True,DL,23,171,70,25,6.69,False
1913913,away,832,Levante,395708,Víctor García,True,MR,17,180,79,27,5.92,False
1913913,away,832,Levante,362623,Oriol Rey,True,MC,20,177,71,27,6.28,False
1913913,away,832,Levante,388808,Pablo Martínez,True,MC,10,182,74,27,5.96,False
1913913,away,832,Levante,448231,Roger Brugué,True,ML,7,173,68,28,6.38,False
1913913,away,832,Levante,407567,Iván Romero,True,FW,9,172,72,24,7.12,False
1913913,away,832,Levante,135321,José Luis Morales,,Sub,11,180,70,38,6.28,False
1913913,away,832,Levante,345366,Diego Pampín,,Sub,6,173,65,25,6.43,False
1913913,away,832,Levante,349661,Sergio Lozano,,Sub,21,175,70,26,6.09,False
1913913,away,832,Levante,406937,Carlos Álvarez,,Sub,24,167,75,22,5.86,False
1913913,away,832,Levante,482951,Matías Moreno,,Sub,2,193,81,21,6.33,False
1913913,away,832,Levante,528972,Martín Krug,,Sub,28,192,0,19,,False
1913913,away,832,Levante,438519,Álex Primo,,Sub,32,187,74,21,,False
1913913,away,832,Levante,516341,Carlos Espí,,Sub,19,185,90,20,,False
1913913,away,832,Levante,541854,Paco Cortés,,Sub,27,0,0,18,,False
1913913,away,832,Levante,578263,Cayetano,,Sub,34,188,0,20,,False
1913913,away,832,Levante,578266,Nacho Pérez,,Sub,29,0,0,17,,False
1913913,away,832,Levante,578267,Joan Ruiz Agustina,,Sub,33,0,0,22,,False
