match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,gk_goal_mouth_y,gk_goal_mouth_z,qualifiers
1913889,29,2,56.0,2,1,55,423108.0,14.2,28.2,KeeperPickup,Successful,,,[]
1913889,43,4,44.0,4,1,55,423108.0,3.6,52.4,Claim,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":88,""displayName"":""HighClaim""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""59""}]"
1913889,93,11,39.0,11,1,55,423108.0,1.8,46.8,Save,Successful,,,"[{""type"":{""value"":179,""displayName"":""DivingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""120""},{""type"":{""value"":174,""displayName"":""ParriedDanger""}},{""type"":{""value"":11117,""displayName"":""KeeperSaveObox""}}]"
1913889,94,11,43.0,11,1,55,423108.0,4.7,41.2,KeeperPickup,Successful,,,[]
1913889,159,18,44.0,18,1,68,407138.0,14.1,56.9,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""148""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913889,160,18,48.0,18,1,68,463961.0,17.9,49.1,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""149""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913889,161,18,50.0,18,1,68,251134.0,14.0,58.8,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""151""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913889,182,23,26.0,23,1,68,270504.0,11.4,66.6,KeeperPickup,Successful,,,[]
1913889,273,40,3.0,40,1,68,270504.0,5.7,52.1,Punch,Successful,,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.16""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""15.0""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""54.4""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.9""}]"
1913889,317,46,53.0,46,1,68,270504.0,14.5,49.1,KeeperPickup,Successful,,,[]
1913889,422,55,10.0,60,2,68,251134.0,8.8,56.9,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""482""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913889,495,63,4.0,68,2,68,463961.0,8.8,52.2,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""521""}]"
1913889,496,63,7.0,68,2,68,463961.0,8.1,48.9,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""637""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913889,728,63,10.0,68,2,68,270504.0,3.4,46.4,KeeperPickup,Successful,,,[]
