match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913889,64,6,36.0,6,1,55,381713.0,91.3,40.7,,,MissedShots,Missed,,51.6,81.9,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""81.9""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913889,120,11,39.0,11,1,68,344542.0,75.9,56.0,,,SavedShot,Saved,,54.1,8.9,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""93""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""8.9""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""119""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""54.1""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.4""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913889,134,14,8.0,14,1,68,407138.0,71.2,51.7,,,MissedShots,Missed,,35.8,84.7,,,"[{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""35.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""84.7""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913889,145,18,1.0,18,1,55,354526.0,87.2,53.6,,,MissedShots,Missed,,39.2,18.1,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""39.2""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""18.1""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""144""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""43.3""},{""type"":{""value"":75,""displayName"":""MissRight""}}]"
1913889,148,18,44.0,18,1,55,334221.0,76.6,38.3,,,SavedShot,Saved,,49.5,19.0,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.5""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""41.9""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""84.7""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""159""}]"
1913889,149,18,48.0,18,1,55,427831.0,81.6,51.4,,,SavedShot,Saved,,46.5,19.0,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""82.8""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.1""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.5""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""193""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""160""},{""type"":{""value"":82,""displayName"":""Blocked""}}]"
1913889,151,18,50.0,18,1,55,334221.0,78.1,37.0,,,SavedShot,Saved,,51.5,19.0,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""150""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""161""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""41.2""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.5""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""86.0""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913889,199,24,25.0,24,1,68,367857.0,84.4,58.5,,,MissedShots,Missed,,60.0,1.4,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""198""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""60""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""1.4""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":73,""displayName"":""MissLeft""}}]"
1913889,221,26,4.0,26,1,55,334221.0,74.9,63.6,,,MissedShots,Missed,,64.0,9.7,,,"[{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""9.7""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""64.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913889,242,34,35.0,34,1,68,344542.0,76.5,66.9,,,MissedShots,Missed,,44.9,84.7,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""241""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""44.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""84.7""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
