match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeValue,typeName,outcomeValue,outcomeName,relatedEventId,qualifiers
1913914,11005,0,,0,1,67,408616.0,70.7,37.1,,,10000,OffsideGiven,0,Unsuccessful,,[]
1913914,2,0,0.0,0,1,53,,0.0,0.0,,,32,Start,1,Successful,,[]
1913914,2,0,0.0,0,1,67,,0.0,0.0,,,32,Start,1,Successful,,[]
1913914,3,0,0.0,0,1,53,238899.0,50.0,50.0,19.2,41.9,1,Pass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""19.2""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""41.9""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.31""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""32.8""}]"
1913914,4,0,9.0,0,1,53,332823.0,22.7,32.8,67.8,53.1,1,Pass,0,Unsuccessful,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.28""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""67.8""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""53.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""49.3""}]"
1913914,3,0,11.0,0,1,67,388505.0,33.7,51.5,24.2,14.1,1,Pass,0,Unsuccessful,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""27.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""14.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.34""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""24.2""}]"
1913914,4,0,17.0,0,1,67,395187.0,23.0,14.4,,,4,Foul,1,Successful,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""5""},{""type"":{""value"":13,""displayName"":""Foul""}},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913914,5,0,17.0,0,1,53,408449.0,77.0,85.6,,,4,Foul,0,Unsuccessful,,"[{""type"":{""value"":13,""displayName"":""Foul""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""4""},{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""}]"
1913914,5,0,43.0,0,1,67,39187.0,17.6,11.4,70.7,37.1,2,OffsidePass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""70.7""},{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":7,""displayName"":""PlayerCaughtOffside""},""value"":""408616""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""37.1""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913914,6,0,43.0,0,1,53,402663.0,32.3,63.0,,,55,OffsideProvoked,1,Successful,,[]
1913914,7,0,53.0,0,1,53,402663.0,32.9,60.6,30.2,35.8,1,Pass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""30.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.55""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.1""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""35.8""},{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":241,""displayName"":""IndirectFreekickTaken""}}]"
1913914,8,0,59.0,0,1,53,357839.0,58.0,31.8,63.2,24.0,1,Pass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""63.2""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""24.0""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.51""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.6""}]"
1913914,9,1,1.0,1,1,53,255182.0,64.1,20.3,91.3,9.8,1,Pass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""91.3""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""29.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.04""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""9.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""}]"
1913914,10,1,4.0,1,1,53,422820.0,89.7,9.2,93.0,44.6,1,Pass,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":210,""displayName"":""ShotAssist""},""value"":""13""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""44.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""93.0""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":2,""displayName"":""Cross""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""24.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.43""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":11113,""displayName"":""KeyPass""}}]"
1913914,11,1,5.0,1,1,53,541704.0,93.1,44.0,,,13,MissedShots,1,Successful,10.0,"[{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""76.4""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""96.6""},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""96.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""10""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.8""}]"
1913914,12,1,13.0,1,1,53,238899.0,80.8,75.0,94.5,69.4,1,Pass,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.02""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""94.5""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""69.4""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.9""}]"
1913914,13,1,14.0,1,1,53,255182.0,94.5,69.4,,,61,BallTouch,0,Unsuccessful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913914,8,1,43.0,1,1,67,39187.0,4.9,49.2,66.8,69.7,1,Pass,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.21""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""66.8""},{""type"":{""value"":124,""displayName"":""GoalKick""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""69.7""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""66.5""}]"
1913914,9,1,49.0,1,1,67,408616.0,66.8,69.7,71.3,49.0,1,Pass,0,Unsuccessful,,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""49.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.8""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""71.3""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.04""}]"
1913914,15,1,51.0,1,1,53,56057.0,29.1,41.0,31.1,30.7,1,Pass,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.00""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""30.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""31.1""},{""type"":{""value"":3,""displayName"":""HeadPass""}}]"
1913914,16,1,53.0,1,1,53,106586.0,31.1,30.7,,,49,BallRecovery,1,Successful,,[]
1913914,17,1,53.0,1,1,53,106586.0,31.1,30.7,36.2,27.0,1,Pass,1,Successful,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.84""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""5.9""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""27.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""36.2""}]"
1913914,18,1,56.0,1,1,53,255182.0,36.2,30.4,,,50,Dispossessed,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""10""},{""type"":{""value"":286,""displayName"":""Offensive""}}]"
1913914,10,1,56.0,1,1,67,516051.0,63.8,69.6,,,7,Tackle,0,Unsuccessful,,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""18""}]"
1913914,19,1,57.0,1,1,53,238899.0,36.8,38.6,,,4,Foul,1,Successful,,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""11""},{""type"":{""value"":13,""displayName"":""Foul""}}]"
1913914,11,1,57.0,1,1,67,317630.0,63.2,61.4,,,4,Foul,0,Unsuccessful,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""19""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":13,""displayName"":""Foul""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913914,20,2,9.0,2,1,53,357839.0,34.1,33.6,34.7,61.5,1,Pass,1,Successful,,"[{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""19.0""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.54""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""34.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""61.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913914,21,2,11.0,2,1,53,511120.0,34.7,61.5,46.3,92.0,1,Pass,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.04""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""92.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""24.1""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""46.3""}]"
