match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,gk_goal_mouth_y,gk_goal_mouth_z,qualifiers
1913917,750,3,44.0,3,1,70,259393.0,10.6,40.6,Smother,Successful,,,[]
1913917,26,3,45.0,3,1,70,259393.0,10.5,43.0,KeeperPickup,Successful,,,[]
1913917,134,13,32.0,13,1,70,259393.0,2.8,44.0,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""147""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":173,""displayName"":""ParriedSafe""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913917,185,16,48.0,16,1,63,76662.0,1.3,47.7,Save,Successful,,,"[{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":174,""displayName"":""ParriedDanger""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""166""},{""type"":{""value"":11117,""displayName"":""KeeperSaveObox""}}]"
1913917,192,18,11.0,18,1,63,76662.0,1.0,49.7,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""178""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":173,""displayName"":""ParriedSafe""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913917,193,18,13.0,18,1,63,76662.0,1.0,49.7,KeeperPickup,Successful,,,[]
1913917,185,20,16.0,20,1,70,259393.0,3.7,48.5,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""231""},{""type"":{""value"":11117,""displayName"":""KeeperSaveObox""}}]"
1913917,186,20,17.0,20,1,70,259393.0,3.7,48.5,KeeperPickup,Successful,,,[]
1913917,203,22,24.0,22,1,70,335696.0,14.9,53.8,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""249""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913917,250,28,45.0,28,1,70,259393.0,2.0,52.4,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""328""},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":179,""displayName"":""DivingSave""}},{""type"":{""value"":11117,""displayName"":""KeeperSaveObox""}}]"
1913917,251,28,47.0,28,1,70,259393.0,2.0,52.4,KeeperPickup,Successful,,,[]
1913917,318,43,32.0,43,1,70,468931.0,10.6,37.7,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""441""}]"
1913917,343,48,19.0,48,1,70,259393.0,9.9,49.4,KeeperPickup,Successful,,,[]
1913917,503,46,37.0,51,2,63,76662.0,2.1,52.8,KeeperPickup,Successful,,,[]
1913917,502,46,38.0,51,2,63,76662.0,2.1,52.8,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""383""},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913917,556,50,33.0,55,2,63,76662.0,3.2,59.1,KeeperPickup,Successful,,,[]
1913917,469,55,2.0,60,2,70,259393.0,0.9,40.9,KeeperPickup,Successful,,,[]
1913917,583,70,19.0,75,2,70,449410.0,11.0,35.9,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""766""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913917,592,74,33.0,79,2,70,73265.0,14.5,50.7,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""798""}]"
1913917,675,85,35.0,90,2,70,259393.0,11.4,45.8,KeeperPickup,Successful,,,[]
