match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913917,90,7,54.0,7,1,63,375621.0,92.9,31.7,,,MissedShots,Missed,,99.3,2.8,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""89""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""94.0""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""45.3""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.8""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""99.3""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}}]"
1913917,147,13,32.0,13,1,63,362779.0,92.3,61.5,,,SavedShot,Saved,,49.7,24.1,,,"[{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""134""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""99.0""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.2""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""24.1""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""146""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.7""},{""type"":{""value"":25,""displayName"":""FromCorner""}}]"
1913917,142,14,3.0,14,1,70,335696.0,70.6,55.6,,,MissedShots,Missed,,27.6,6.9,,,"[{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""27.6""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""6.9""},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""47.7""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""79.4""}]"
1913917,166,16,48.0,16,1,70,448296.0,71.8,67.1,,,SavedShot,Saved,,51.2,24.1,,,"[{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""185""},{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""24.1""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""97.1""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.2""}]"
1913917,178,18,11.0,18,1,70,73265.0,91.5,47.4,,,SavedShot,Saved,,52.0,23.4,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.0""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.2""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""23.4""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""176""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.8""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""192""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":24,""displayName"":""SetPiece""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913917,231,20,16.0,20,1,63,365409.0,79.6,65.2,,,SavedShot,Saved,,52.3,17.7,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.5""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""229""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.5""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""185""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""17.7""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.3""}]"
1913917,249,22,24.0,22,1,63,422918.0,81.8,45.4,,,SavedShot,Saved,,47.9,19.0,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""86.3""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""248""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""46.0""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""203""}]"
1913917,328,28,45.0,28,1,63,365409.0,81.9,52.4,,,SavedShot,Saved,,46.0,1.3,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""250""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.0""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""1.3""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.9""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""327""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913917,379,36,30.0,36,1,63,365409.0,77.3,59.1,,,Goal,Goal,,53.6,29.7,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""53.6""},{""type"":{""value"":26,""displayName"":""DirectFreekick""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""29.7""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913917,401,40,39.0,40,1,63,361732.0,86.2,30.7,,,MissedShots,Missed,,42.9,23.6,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""42.9""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""90.8""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""34.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""400""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""23.6""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913917,441,43,32.0,43,1,63,375621.0,86.3,65.6,,,SavedShot,Saved,,50.6,6.9,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""318""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""62.3""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""6.9""},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""440""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""89.4""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.6""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913917,446,44,19.0,44,1,63,379230.0,76.7,69.2,,,MissedShots,Missed,,40.0,76.4,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""76.4""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""444""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913917,383,46,38.0,51,2,70,362423.0,87.0,41.3,,,SavedShot,Saved,,48.3,25.3,,,"[{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""502""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""25.3""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.3""},{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""422""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.0""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":160,""displayName"":""ThrowinSetPiece""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.1""}]"
1913917,407,48,26.0,53,2,70,468931.0,76.8,59.5,,,MissedShots,Missed,,52.4,80.6,,,"[{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""80.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.4""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""405""}]"
1913917,432,50,32.0,55,2,70,79840.0,91.7,46.3,,,MissedShots,Missed,,42.2,15.3,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""43.0""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.2""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""15.3""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""431""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""42.2""}]"
1913917,635,56,47.0,61,2,63,365409.0,91.2,47.2,,,ShotOnPost,Post,,55.3,5.7,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""633""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""5.7""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""55.3""},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913917,697,63,19.0,68,2,63,422918.0,95.5,34.4,,,MissedShots,Missed,,42.2,26.4,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""42.2""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""26.4""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":62,""displayName"":""DeepBoxRight""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""696""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913917,766,70,19.0,75,2,63,371497.0,86.2,66.8,,,SavedShot,Saved,,52.8,18.1,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""63.2""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""765""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""18.1""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""89.3""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""583""},{""type"":{""value"":64,""displayName"":""BoxLeft""}}]"
