match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913883,67,9,56.0,9,1,54,362501.0,80.0,73.2,,,SavedShot,Saved,,52.1,19.0,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""64.6""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""88.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""136""},{""type"":{""value"":26,""displayName"":""DirectFreekick""}},{""type"":{""value"":82,""displayName"":""Blocked""}}]"
1913883,82,10,48.0,10,1,54,349494.0,90.9,32.5,,,SavedShot,Saved,,51.0,6.3,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""81""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""6.3""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.0""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""47.1""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""141""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913883,99,12,41.0,12,1,54,402206.0,69.2,66.6,,,MissedShots,Missed,,28.9,8.3,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""28.9""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""98""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""8.3""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913883,111,14,40.0,14,1,54,362501.0,89.8,52.8,,,MissedShots,Missed,,56.3,76.4,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""76.4""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""109""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":24,""displayName"":""SetPiece""}},{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""56.3""}]"
1913883,192,16,41.0,16,1,833,508339.0,79.9,37.0,,,SavedShot,Saved,,50.8,19.0,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""44.4""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""128""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""90.3""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":82,""displayName"":""Blocked""}}]"
1913883,166,20,27.0,20,1,54,349494.0,92.6,59.3,,,Goal,Goal,,51.0,1.3,,,"[{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""164""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.0""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""1.3""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913883,407,37,34.0,37,1,833,301330.0,89.8,65.6,,,MissedShots,Missed,,40.3,2.8,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.8""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""406""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40.3""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}}]"
1913883,382,54,24.0,58,2,54,125211.0,97.1,26.2,,,SavedShot,Saved,,46.1,20.9,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""20.9""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""35.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.4""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":62,""displayName"":""DeepBoxRight""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""634""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":81,""displayName"":""HighRight""}}]"
1913883,390,55,8.0,59,2,54,303908.0,82.1,61.5,,,SavedShot,Saved,,51.4,19.0,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""86.2""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""59.2""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""641""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""389""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.4""}]"
1913883,398,56,46.0,60,2,54,382631.0,79.0,46.2,,,SavedShot,Saved,,51.6,19.0,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.0""},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""86.0""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""655""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""397""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
