match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,outcomeName,pass_outcome,is_key_pass,is_assist,is_cross,is_throughball,q_length,q_angle,related_shots,has_ws_assist_flag,qualifiers
1913886,3,0,0,0,1,52,300713.0,49.9,49.9,25.4,52.3,Pass,Successful,Successful,False,False,False,False,25.8,3.08,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.08""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""52.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""25.4""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""25.8""}]"
1913886,4,0,7,0,1,52,73798.0,27.8,53.2,67.1,17.6,Pass,Successful,Successful,False,False,False,False,47.8,5.75,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.75""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""17.6""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""47.8""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""67.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":1,""displayName"":""Longball""}}]"
1913886,6,0,12,0,1,52,344644.0,67.1,17.6,71.2,39.4,Pass,Unsuccessful,Unsuccessful,False,False,False,False,15.4,1.29,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""39.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.29""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""71.2""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""15.4""}]"
1913886,4,0,13,0,1,131,319388.0,28.2,44.5,42.1,55.7,Pass,Unsuccessful,Unsuccessful,False,False,False,False,16.5,0.48,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.48""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.5""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""55.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913886,7,0,17,0,1,52,468852.0,55.8,49.3,64.1,23.1,Pass,Unsuccessful,Unsuccessful,False,False,False,False,19.8,5.17,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""23.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.17""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""19.8""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""64.1""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913886,6,0,18,0,1,131,461771.0,33.9,78.1,38.6,68.3,Pass,Unsuccessful,Unsuccessful,False,False,False,False,8.3,5.35,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""68.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""8.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.35""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""38.6""}]"
1913886,8,0,19,0,1,52,415181.0,61.5,28.2,56.7,19.4,Pass,Successful,Successful,False,False,False,False,7.8,4.01,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.01""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""19.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""56.7""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.8""}]"
1913886,9,0,23,0,1,52,318871.0,56.7,19.4,42.0,28.9,Pass,Successful,Successful,False,False,False,False,16.7,2.75,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.75""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""28.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.0""}]"
1913886,10,0,24,0,1,52,337879.0,41.0,30.0,38.3,54.3,Pass,Successful,Successful,False,False,False,False,16.8,1.74,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""38.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""54.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.74""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913886,11,0,26,0,1,52,468852.0,38.9,57.5,45.0,80.6,Pass,Successful,Successful,False,False,False,False,17.0,1.18,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""80.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.0""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""45.0""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.18""}]"
