match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913886,114,6,21,6,1,52,437583.0,77.8,65.4,,,MissedShots,Missed,,40.8,4.2,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""113""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""4.2""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913886,265,17,20,17,1,52,468852.0,68.8,58.9,,,SavedShot,Saved,,46.1,9.5,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""264""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.1""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.7""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.2""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""9.5""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""113""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913886,323,21,32,21,1,52,300713.0,90.0,48.5,,,SavedShot,Saved,,49.7,19.0,,,"[{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.7""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""130""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.7""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""321""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.0""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913886,378,24,56,24,1,52,300713.0,87.4,62.0,,,SavedShot,Saved,,48.4,24.1,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""24.1""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""377""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.6""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.4""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""151""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""}]"
1913886,387,25,42,25,1,52,337879.0,65.1,37.6,,,SavedShot,Saved,,53.2,7.6,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.5""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":19,""displayName"":""ThirtyFivePlusCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""386""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.5""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""7.6""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""53.2""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""154""}]"
1913886,444,33,34,33,1,52,300713.0,87.4,65.2,,,MissedShots,Missed,,42.9,22.2,,,"[{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""22.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""42.9""},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913886,490,37,36,37,1,52,337782.0,87.8,69.7,,,MissedShots,Missed,,32.6,63.9,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""32.6""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""63.9""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""489""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":64,""displayName"":""BoxLeft""}}]"
1913886,232,39,24,39,1,131,98126.0,84.2,35.4,,,MissedShots,Missed,,39.0,55.6,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""39.0""},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""55.6""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913886,531,42,5,42,1,52,437583.0,79.3,63.6,,,SavedShot,Saved,,52.8,19.0,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""61.9""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.8""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""261""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""81.5""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""530""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913886,543,42,40,42,1,52,468852.0,74.4,54.4,,,MissedShots,Missed,,39.8,70.8,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""542""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""70.8""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""39.8""},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
