match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeValue,typeName,outcomeValue,outcomeName,relatedEventId,qualifiers
1913885,11005,0,,0,1,54,362501.0,61.0,71.1,,,10000,OffsideGiven,0,Unsuccessful,,[]
1913885,2,0,0.0,0,1,54,,0.0,0.0,,,32,Start,1,Successful,,[]
1913885,2,0,0.0,0,1,60,,0.0,0.0,,,32,Start,1,Successful,,[]
1913885,3,0,0.0,0,1,60,444254.0,50.0,50.3,15.2,48.9,1,Pass,1,Successful,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""36.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""15.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.17""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""48.9""}]"
1913885,4,0,7.0,0,1,60,141044.0,21.1,40.7,66.0,29.1,1,Pass,0,Unsuccessful,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.12""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""66.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""47.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""29.1""}]"
1913885,3,0,11.0,0,1,54,402206.0,33.9,72.4,,,44,Aerial,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""5""}]"
1913885,5,0,11.0,0,1,60,280060.0,66.1,27.6,,,44,Aerial,0,Unsuccessful,,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913885,5,0,12.0,0,1,54,402206.0,33.6,68.7,61.0,71.1,2,OffsidePass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""61.0""},{""type"":{""value"":7,""displayName"":""PlayerCaughtOffside""},""value"":""362501""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""71.1""}]"
1913885,6,0,12.0,0,1,60,337454.0,45.3,27.0,,,55,OffsideProvoked,1,Successful,,[]
1913885,7,0,21.0,0,1,60,337454.0,45.6,35.0,43.7,55.0,1,Pass,1,Successful,,"[{""type"":{""value"":241,""displayName"":""IndirectFreekickTaken""}},{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""55.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""13.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""43.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.72""}]"
