match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,qualifiers
1913885,3,0,11.0,0,1,54,402206.0,33.9,72.4,Aerial,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""5""}]"
1913885,5,0,11.0,0,1,60,280060.0,66.1,27.6,Aerial,Unsuccessful,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913885,7,0,35.0,0,1,54,125211.0,27.4,21.3,BallRecovery,Successful,[]
1913885,14,0,42.0,0,1,60,444254.0,38.1,71.2,BallRecovery,Successful,[]
1913885,10,1,33.0,1,1,54,297203.0,24.4,62.0,Clearance,Successful,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""56.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""11.8""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.93""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""34.9""}]"
1913885,13,2,4.0,2,1,54,351252.0,6.7,91.8,Clearance,Successful,"[{""type"":{""value"":185,""displayName"":""BlockedCross""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""24""}]"
1913885,14,2,7.0,2,1,54,489232.0,3.2,80.8,Challenge,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""26""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913885,15,2,9.0,2,1,54,83686.0,7.5,57.5,Interception,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913885,16,2,10.0,2,1,54,83686.0,9.0,67.4,BallRecovery,Successful,[]
1913885,917,2,13.0,2,1,60,335041.0,88.9,46.7,BallRecovery,Successful,[]
1913885,18,2,14.0,2,1,54,402206.0,11.2,53.7,Challenge,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""29""}]"
1913885,32,3,6.0,3,1,60,347874.0,42.4,86.0,Aerial,Successful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""24""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
