match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913885,30,2,15.0,2,1,60,335041.0,90.3,46.2,,,SavedShot,Saved,,49.4,17.7,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.1""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""17.7""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""19""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.4""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.4""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""28""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}}]"
1913885,60,5,11.0,5,1,54,297203.0,77.4,73.6,,,SavedShot,Saved,,52.3,19.0,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""59""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""69.9""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""81.4""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""59""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.3""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":25,""displayName"":""FromCorner""}}]"
1913885,87,6,44.0,6,1,54,349494.0,93.6,46.0,,,MissedShots,Missed,,51.4,79.2,,,"[{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""86""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""79.2""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.4""}]"
1913885,120,9,24.0,9,1,54,349494.0,97.6,33.5,,,SavedShot,Saved,,46.1,15.8,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""99.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""119""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.1""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""15.8""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""82""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""45.7""},{""type"":{""value"":62,""displayName"":""DeepBoxRight""}}]"
1913885,214,15,42.0,15,1,54,362501.0,90.5,51.3,,,SavedShot,Saved,,52.2,19.0,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.2""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""130""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""213""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""94.0""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913885,215,15,44.0,15,1,54,303908.0,97.3,44.4,,,Goal,Goal,,51.7,5.7,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""5.7""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.7""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":60,""displayName"":""SmallBoxRight""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913885,187,20,56.0,20,1,60,347874.0,74.7,69.3,,,MissedShots,Missed,,55.1,75.0,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""75""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""55.1""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""185""},{""type"":{""value"":74,""displayName"":""MissHigh""}}]"
1913885,267,27,38.0,27,1,60,444254.0,75.7,50.3,,,SavedShot,Saved,,51.8,15.3,,,"[{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.5""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.8""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""77.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""15.3""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""312""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913885,270,28,10.0,28,1,60,337454.0,90.6,55.4,,,SavedShot,Saved,,49.4,18.4,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""18.4""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""269""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""314""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.1""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.4""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913885,333,31,25.0,31,1,54,382631.0,72.5,60.1,,,MissedShots,Missed,,40.7,84.7,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""330""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""84.7""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
