match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913888,58,3,15.0,3,1,65,480249.0,81.6,25.6,,,MissedShots,Missed,,64.0,15.3,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""64.0""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""57""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""15.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""31.0""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""82.7""}]"
1913888,63,4,6.0,4,1,65,300299.0,99.3,64.4,,,SavedShot,Saved,,51.4,8.2,,,"[{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""99.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":65,""displayName"":""DeepBoxLeft""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.4""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""8.2""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""26""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""55.6""},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913888,70,4,36.0,4,1,65,300447.0,75.7,58.1,,,MissedShots,Missed,,45.4,80.6,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""80.6""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""69""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""45.4""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}}]"
1913888,159,12,27.0,12,1,65,422938.0,82.2,62.4,,,SavedShot,Saved,,45.7,19.0,,,"[{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""75""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""158""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""54.2""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""45.7""}]"
1913888,96,14,46.0,14,1,832,407567.0,91.9,44.5,,,Goal,Goal,,51.9,1.9,,,"[{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""1.9""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""94""}]"
1913888,294,23,38.0,23,1,65,480249.0,86.2,31.3,,,SavedShot,Saved,,48.6,19.0,,,"[{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""33.2""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""125""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""87.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""293""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.6""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":82,""displayName"":""Blocked""}}]"
1913888,307,24,42.0,24,1,65,480249.0,88.7,29.2,,,SavedShot,Saved,,50.1,19.0,,,"[{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.1""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""35.6""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""306""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""128""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.1""},{""type"":{""value"":78,""displayName"":""LowCentre""}}]"
1913888,342,27,2.0,27,1,65,349760.0,91.7,60.1,,,SavedShot,Saved,,52.3,12.7,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""142""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.4""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.3""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""341""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""53.1""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""12.7""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913888,433,35,10.0,35,1,65,402197.0,80.8,64.6,,,SavedShot,Saved,,49.7,5.7,,,"[{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""180""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.7""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""5.7""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""432""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913888,453,36,19.0,36,1,65,349760.0,88.9,46.2,,,ShotOnPost,Post,,47.4,38.6,,,"[{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""452""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""38.6""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.4""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
