match_id,team_side,team_id,team_name,formation_name,period,start_expanded,end_expanded,duration_expanded
1913900,away,55,Valencia,442,16,0,21,21
1913900,away,55,Valencia,442,1,21,25,4
1913900,away,55,Valencia,442,1,25,72,47
1913900,away,55,Valencia,442,1,72,72,0
1913900,away,55,Valencia,442,1,72,73,1
1913900,away,55,Valencia,532,2,73,83,10
1913900,away,55,Valencia,442,2,83,95,12
1913900,home,131,Osasuna,3421,16,0,67,67
1913900,home,131,Osasuna,3421,16,67,83,16
1913900,home,131,Osasuna,3421,2,83,89,6
1913900,home,131,Osasuna,532,2,89,95,6
