match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,qualifiers
1913882,3,0,7.0,0,1,52,73798.0,17.4,48.3,Tackle,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""7""}]"
1913882,4,0,10.0,0,1,52,468852.0,21.3,71.9,BallRecovery,Successful,[]
1913882,8,1,16.0,1,1,61,335790.0,10.3,9.2,Clearance,Successful,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.9""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.18""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""26.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""13.7""}]"
1913882,9,1,17.0,1,1,61,361898.0,22.8,10.3,Challenge,Unsuccessful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""31""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913882,10,1,31.0,1,1,61,124106.0,11.1,47.9,Clearance,Successful,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""53.4""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""4.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""53.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.70""}]"
1913882,12,2,5.0,2,1,61,361898.0,36.7,13.2,Tackle,Unsuccessful,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""45""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913882,15,3,5.0,3,1,61,456006.0,6.6,59.3,Clearance,Successful,"[{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""39.8""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.03""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""10.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""13.9""}]"
1913882,16,3,7.0,3,1,61,361898.0,11.9,44.8,Clearance,Successful,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""47.6""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""44.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""54.6""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.04""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913882,17,3,28.0,3,1,61,361898.0,19.9,15.6,Challenge,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""62""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913882,65,3,52.0,3,1,52,73798.0,19.6,50.0,BallRecovery,Successful,[]
1913882,83,5,20.0,5,1,52,353423.0,57.1,28.1,BallRecovery,Successful,[]
1913882,35,7,1.0,7,1,61,463426.0,29.4,63.4,BallRecovery,Successful,[]
1913882,119,7,42.0,7,1,52,344644.0,95.6,17.0,BallRecovery,Successful,[]
1913882,49,7,43.0,7,1,61,300918.0,7.5,51.6,Clearance,Successful,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""12.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""68.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""3.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.89""}]"
1913882,50,7,44.0,7,1,61,124106.0,3.9,69.6,Clearance,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""38.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""37.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.14""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""77.3""}]"
1913882,122,7,50.0,7,1,52,468852.0,57.8,32.6,Aerial,Successful,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""52""}]"
1913882,52,7,50.0,7,1,61,25964.0,42.2,67.4,Aerial,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""122""}]"
1913882,55,7,56.0,7,1,61,25964.0,39.8,62.6,BallRecovery,Successful,[]
1913882,125,8,24.0,8,1,52,344644.0,63.8,37.0,Interception,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913882,127,8,27.0,8,1,52,347862.0,88.4,84.4,BallRecovery,Successful,[]
