match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,gk_goal_mouth_y,gk_goal_mouth_z,qualifiers
1913894,5,0,24.0,0,1,70,259393.0,2.0,36.3,KeeperPickup,Successful,,,[]
1913894,48,7,20.0,7,1,70,259393.0,15.2,24.6,KeeperSweeper,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913894,49,7,21.0,7,1,70,259393.0,12.7,25.0,KeeperPickup,Successful,,,[]
1913894,59,7,54.0,7,1,70,259393.0,2.9,52.4,Save,Successful,,,"[{""type"":{""value"":173,""displayName"":""ParriedSafe""}},{""type"":{""value"":179,""displayName"":""DivingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""106""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913894,88,12,49.0,12,1,70,357118.0,14.9,57.4,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""157""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913894,202,16,58.0,16,1,68,495459.0,6.4,48.0,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""114""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913894,203,17,5.0,17,1,68,495459.0,7.7,47.4,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""116""}]"
1913894,204,17,14.0,17,1,68,270504.0,3.2,50.3,KeeperPickup,Successful,,,[]
1913894,161,22,6.0,22,1,70,259393.0,5.7,50.4,KeeperPickup,Successful,,,[]
1913894,269,23,30.0,23,1,68,270504.0,2.8,43.2,Punch,Unsuccessful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""174""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""7.3""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""17.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.97""}]"
