match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913894,66,4,49.0,4,1,68,367857.0,88.7,65.8,,,MissedShots,Missed,,40.0,15.3,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40""},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""15.3""}]"
1913894,106,7,54.0,7,1,68,377285.0,90.2,36.2,,,SavedShot,Saved,,49.7,19.0,,,"[{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19.0""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.7""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""46.8""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""59""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""99.3""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""105""}]"
1913894,75,9,34.0,9,1,70,140772.0,90.9,50.3,,,Goal,Goal,,45.5,12.0,,,"[{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""74""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""45.5""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""12.0""},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913894,78,11,23.0,11,1,70,398922.0,81.6,34.2,,,MissedShots,Missed,,62.2,15.3,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""62.2""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""77""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""15.3""}]"
1913894,157,12,49.0,12,1,68,407138.0,76.9,38.6,,,SavedShot,Saved,,49.8,19.0,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.8""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""85.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""88""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""42.6""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""156""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913894,160,12,58.0,12,1,68,367857.0,91.2,60.0,,,MissedShots,Missed,,44.0,65.3,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""65.3""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""44.0""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""158""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913894,114,16,58.0,16,1,70,448296.0,92.0,53.4,,,SavedShot,Saved,,52.6,19.0,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""112""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""202""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.6""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""93.6""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.0""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913894,116,17,5.0,17,1,70,335696.0,78.8,64.2,,,SavedShot,Saved,,47.1,19.0,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.7""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""115""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""93.0""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""203""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.1""}]"
1913894,158,20,44.0,20,1,70,398922.0,79.6,34.2,,,MissedShots,Missed,,49.4,77.8,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.4""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""77.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""157""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913894,185,24,14.0,24,1,70,362423.0,48.2,28.9,,,SavedShot,Saved,,54.5,19.0,,,"[{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19.0""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.3""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""184""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":19,""displayName"":""ThirtyFivePlusCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""95.5""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""54.5""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""273""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
