match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,gk_goal_mouth_y,gk_goal_mouth_z,qualifiers
1913901,15,1,5.0,1,1,2783,497397.0,0.7,48.7,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""18""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913901,127,13,18.0,13,1,839,430301.0,10.6,47.7,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""146""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913901,137,17,11.0,17,1,839,400826.0,14.1,51.7,KeeperPickup,Successful,,,[]
1913901,211,21,1.0,21,1,2783,478314.0,7.0,61.0,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""175""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913901,239,23,21.0,23,1,2783,478314.0,5.4,47.8,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""206""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913901,272,32,32.0,32,1,2783,497397.0,0.5,46.9,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""261""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913901,273,32,32.0,32,1,2783,497397.0,0.5,46.9,KeeperPickup,Successful,,,[]
1913901,290,36,40.0,36,1,839,400826.0,6.9,53.0,Claim,Successful,,,"[{""type"":{""value"":88,""displayName"":""HighClaim""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""322""}]"
1913901,375,49,29.0,49,1,839,403865.0,18.8,39.9,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""436""}]"
1913901,460,46,52.0,52,2,2783,497397.0,7.3,49.6,Punch,Unsuccessful,,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""26.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.26""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""59.4""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""31.4""}]"
1913901,484,49,1.0,55,2,2783,92691.0,4.4,42.2,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""462""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913901,536,55,23.0,61,2,2783,497397.0,7.9,64.2,KeeperPickup,Successful,,,[]
1913901,590,60,4.0,66,2,2783,404245.0,12.1,44.0,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""566""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
1913901,574,61,19.0,67,2,839,400826.0,3.5,30.6,KeeperPickup,Successful,,,[]
1913901,633,66,42.0,72,2,2783,478314.0,6.4,49.6,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""604""}]"
1913901,667,71,37.0,77,2,2783,497397.0,4.7,65.8,KeeperPickup,Successful,,,[]
1913901,736,80,7.0,86,2,839,400826.0,0.8,55.8,Save,Successful,,,"[{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""725""},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913901,737,80,8.0,86,2,839,400826.0,1.8,50.9,KeeperPickup,Successful,,,[]
1913901,753,82,29.0,88,2,839,400826.0,1.4,52.3,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""744""},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913901,754,82,30.0,88,2,839,400826.0,1.4,52.3,KeeperPickup,Successful,,,[]
1913901,790,88,36.0,94,2,2783,497397.0,4.4,62.1,KeeperPickup,Successful,,,[]
1913901,815,89,5.0,95,2,839,400826.0,6.5,50.5,KeeperPickup,Successful,,,[]
