match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913901,388,1,4.0,1,1,839,371027.0,91.4,41.8,,,MissedShots,Missed,,97.8,23.6,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""17""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""54.0""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""23.6""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""97.8""},{""type"":{""value"":11113,""displayName"":""KeyPass""}}]"
1913901,18,1,5.0,1,1,839,445095.0,90.8,54.5,,,SavedShot,Saved,,50.2,34.8,,,"[{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.5""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""15""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.3""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""34.8""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""388""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.2""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913901,72,6,24.0,6,1,839,239872.0,87.6,47.9,,,Goal,Goal,,51.6,3.2,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":17,""displayName"":""BoxCentre""}}]"
1913901,119,12,14.0,12,1,839,362735.0,81.5,47.0,,,MissedShots,Missed,,61.7,29.2,,,"[{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""29.2""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""61.7""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913901,146,13,18.0,13,1,2783,444249.0,87.7,52.6,,,SavedShot,Saved,,50.8,19.0,,,"[{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.3""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""89.4""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""127""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.8""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""145""}]"
1913901,135,15,4.0,15,1,839,371027.0,96.4,28.6,,,Goal,Goal,,48.4,34.8,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":62,""displayName"":""DeepBoxRight""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""133""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.4""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""34.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913901,175,21,1.0,21,1,839,239872.0,90.0,34.5,,,SavedShot,Saved,,47.1,19.0,,,"[{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""174""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""211""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.3""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""37.4""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.1""}]"
1913901,206,23,20.0,23,1,839,239872.0,92.8,52.3,,,SavedShot,Saved,,51.8,19.0,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""239""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.2""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""94.6""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":100,""displayName"":""SixYardBlock""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""202""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.8""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913901,211,24,4.0,24,1,839,430301.0,97.3,41.1,,,Goal,Goal,,51.6,25.3,,,"[{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":60,""displayName"":""SmallBoxRight""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""209""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.6""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""25.3""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913901,226,27,2.0,27,1,839,371027.0,96.3,51.1,,,Goal,Goal,,48.9,3.8,,,"[{""type"":{""value"":16,""displayName"":""SmallBoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""225""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.8""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.9""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
