match_id,team_side,team_id,team_name,formation_name,period,start_expanded,end_expanded,duration_expanded
1913901,away,2783,Girona,4411,16,0,31,31
1913901,away,2783,Girona,3421,1,31,41,10
1913901,away,2783,Girona,3421,1,41,51,10
1913901,away,2783,Girona,3421,2,51,76,25
1913901,away,2783,Girona,3421,2,76,83,7
1913901,away,2783,Girona,3421,2,83,93,10
1913901,home,839,Villarreal,442,16,0,51,51
1913901,home,839,Villarreal,442,2,51,68,17
1913901,home,839,Villarreal,442,2,68,71,3
1913901,home,839,Villarreal,442,2,71,75,4
1913901,home,839,Villarreal,442,2,75,93,18
