match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeValue,typeName,outcomeValue,outcomeName,relatedEventId,qualifiers
1913937,2,0,0.0,0,1,62,,0.0,0.0,,,32,Start,1,Successful,,[]
1913937,2,0,0.0,0,1,54,,0.0,0.0,,,32,Start,1,Successful,,[]
1913937,3,0,0.0,0,1,54,362501.0,50.0,50.0,42.6,51.9,1,Pass,1,Successful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""51.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.9""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.98""}]"
1913937,4,0,2.0,0,1,54,297203.0,43.2,51.9,54.2,48.0,1,Pass,1,Successful,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""11.9""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.06""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""54.2""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""48.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913937,5,0,3.0,0,1,54,362501.0,54.2,48.0,48.3,41.2,1,Pass,1,Successful,,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""41.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.78""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""48.3""},{""type"":{""value"":156,""displayName"":""LayOff""}}]"
1913937,6,0,4.0,0,1,54,303908.0,47.5,40.3,28.1,35.7,1,Pass,1,Successful,,"[{""type"":{""value"":156,""displayName"":""LayOff""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""35.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""28.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""20.6""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.29""}]"
1913937,7,0,10.0,0,1,54,83686.0,34.1,19.2,72.5,13.6,1,Pass,1,Successful,,"[{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""72.5""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""13.6""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""40.5""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.19""}]"
1913937,8,0,12.0,0,1,54,349494.0,72.5,13.6,67.6,5.1,1,Pass,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.99""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""5.1""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""67.6""}]"
1913937,9,0,13.0,0,1,54,125211.0,67.6,5.1,74.0,23.8,1,Pass,1,Successful,,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""23.8""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.08""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""74.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913937,10,0,14.0,0,1,54,362501.0,71.4,25.7,,,50,Dispossessed,1,Successful,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":286,""displayName"":""Offensive""}}]"
