match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,gk_goal_mouth_y,gk_goal_mouth_z,qualifiers
1913937,10,0,39.0,0,1,62,296723.0,8.6,52.8,KeeperPickup,Successful,,,[]
1913937,92,8,2.0,8,1,54,448208.0,7.1,64.6,KeeperPickup,Successful,,,[]
1913937,115,11,54.0,11,1,62,296723.0,3.1,43.9,Claim,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":88,""displayName"":""HighClaim""}}]"
1913937,221,18,26.0,18,1,54,448208.0,3.6,45.3,Save,Successful,,,"[{""type"":{""value"":173,""displayName"":""ParriedSafe""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""166""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":183,""displayName"":""Feet""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913937,276,34,29.0,34,1,62,296723.0,6.4,37.2,KeeperPickup,Successful,,,[]
1913937,293,36,22.0,36,1,62,244778.0,1.5,48.2,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""416""},{""type"":{""value"":14,""displayName"":""LastMan""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913937,313,41,32.0,41,1,62,296723.0,9.2,51.4,KeeperPickup,Successful,,,[]
1913937,337,43,55.0,43,1,62,415345.0,18.8,39.7,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""512""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913937,340,44,11.0,44,1,62,528001.0,12.1,42.1,Save,Successful,,,"[{""type"":{""value"":94,""displayName"":""OutfielderBlock""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""520""}]"
1913937,532,45,37.0,48,2,54,448208.0,1.5,50.4,Save,Successful,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""365""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":177,""displayName"":""Collected""}},{""type"":{""value"":182,""displayName"":""Hands""}},{""type"":{""value"":11115,""displayName"":""KeeperSaveInTheBox""}}]"
1913937,533,45,38.0,48,2,54,448208.0,1.5,50.4,KeeperPickup,Successful,,,[]
1913937,544,46,31.0,49,2,54,489232.0,6.4,38.3,Save,Successful,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""375""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":94,""displayName"":""OutfielderBlock""}}]"
