match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913919,81,6,23.0,6,1,55,408732.0,73.4,64.8,,,SavedShot,Saved,,54.0,5.1,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.9""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""51""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""95.2""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""80""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""5.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""54.0""}]"
1913919,92,7,51.0,7,1,55,236558.0,92.7,52.8,,,SavedShot,Saved,,49.5,19.0,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""93.7""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.5""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""60""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.3""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""90""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913919,119,17,21.0,17,1,819,303016.0,85.7,54.9,,,MissedShots,Missed,,59.3,13.9,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""59.3""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""118""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""13.9""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913919,145,19,59.0,19,1,819,531674.0,92.0,57.8,,,SavedShot,Saved,,49.5,19.0,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""143""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.5""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""56.3""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""195""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""93.4""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":78,""displayName"":""LowCentre""}}]"
1913919,246,29,2.0,29,1,55,322095.0,95.1,44.4,,,Goal,Goal,,46.3,20.9,,,"[{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""20.9""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""245""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":60,""displayName"":""SmallBoxRight""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.3""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913919,265,39,21.0,39,1,819,303016.0,72.5,46.0,,,MissedShots,Missed,,34.1,26.4,,,"[{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""34.1""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""264""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""26.4""},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913919,360,43,2.0,43,1,55,408732.0,79.7,49.9,,,SavedShot,Saved,,54.7,19.0,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""282""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.2""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""54.7""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""89.3""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913919,486,53,1.0,59,2,55,323625.0,87.1,66.2,,,Goal,Goal,,46.0,21.5,,,"[{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.0""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""21.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""484""}]"
1913919,545,60,57.0,66,2,55,422656.0,91.1,30.1,,,MissedShots,Missed,,41.0,61.1,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""61.1""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""41.0""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""544""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":214,""displayName"":""BigChance""}}]"
1913919,488,62,52.0,68,2,819,531674.0,89.8,50.0,,,MissedShots,Missed,,57.6,19.4,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""57.6""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19.4""}]"
1913919,534,68,18.0,74,2,819,519104.0,84.5,37.0,,,SavedShot,Saved,,49.1,19.0,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""88.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""594""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""39.7""}]"
1913919,603,77,34.0,83,2,819,278721.0,98.9,42.6,,,SavedShot,Saved,,47.2,19.6,,,"[{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""46.0""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":60,""displayName"":""SmallBoxRight""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19.6""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""675""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""100""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.2""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""602""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":15,""displayName"":""Head""}}]"
1913919,616,79,36.0,85,2,819,303016.0,69.9,48.8,,,SavedShot,Saved,,47.8,19.0,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.8""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.4""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""82.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""679""},{""type"":{""value"":26,""displayName"":""DirectFreekick""}},{""type"":{""value"":80,""displayName"":""LowRight""}}]"
1913919,629,81,15.0,87,2,819,303016.0,89.2,44.0,,,MissedShots,Missed,,49.1,76.4,,,"[{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""628""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.1""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""76.4""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913919,663,85,53.0,91,2,819,519104.0,87.4,37.6,,,ShotOnPost,Post,,55.5,10.8,,,"[{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""55.5""},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""662""},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""10.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}}]"
1913919,679,90,22.0,96,2,819,279320.0,73.4,52.1,,,SavedShot,Saved,,51.2,19.0,,,"[{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.2""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""755""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""87.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":26,""displayName"":""DirectFreekick""}}]"
1913919,680,90,25.0,96,2,819,279320.0,78.4,52.1,,,MissedShots,Missed,,41.3,12.5,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""41.3""},{""type"":{""value"":24,""displayName"":""SetPiece""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""12.5""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913919,812,96,3.0,102,2,55,354526.0,91.4,47.0,,,Goal,Goal,,51.8,19.0,,,"[{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19.0""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""51.8""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""811""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":78,""displayName"":""LowCentre""}}]"
