match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,outcomeName,pass_outcome,is_key_pass,is_assist,is_cross,is_throughball,q_length,q_angle,related_shots,has_ws_assist_flag,qualifiers
1913884,3,0,0.0,0,1,60,409467.0,50.2,49.8,29.7,46.9,Pass,Successful,Successful,False,False,False,False,21.6,3.23,[],False,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""21.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""29.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.23""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""46.9""}]"
1913884,4,0,3.0,0,1,60,337454.0,29.0,47.5,28.3,81.1,Pass,Successful,Successful,False,False,False,False,22.9,1.60,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""28.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.60""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""81.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""22.9""}]"
1913884,6,0,13.0,0,1,60,303268.0,46.1,83.1,40.7,72.9,Pass,Successful,Successful,False,False,False,False,9.0,4.03,[],False,"[{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.03""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""40.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.0""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""72.9""}]"
1913884,7,0,14.0,0,1,60,409467.0,37.3,70.9,35.4,20.4,Pass,Successful,Successful,False,False,False,False,34.4,4.65,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""35.4""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""20.4""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""34.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.65""}]"
1913884,8,0,19.0,0,1,60,115917.0,41.7,19.8,52.3,6.4,Pass,Successful,Successful,False,False,False,False,14.4,5.60,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""6.4""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""52.3""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.60""}]"
1913884,9,0,22.0,0,1,60,462861.0,52.5,6.3,45.3,27.6,Pass,Successful,Successful,False,False,False,False,16.3,2.05,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""27.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""45.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.05""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913884,11,0,27.0,0,1,60,444254.0,45.7,29.8,55.6,32.8,Pass,Successful,Successful,False,False,False,False,10.6,0.19,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""32.8""},{""type"":{""value"":5,""displayName"":""FreekickTaken""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""10.6""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.19""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""55.6""}]"
1913884,7,0,33.0,0,1,63,367008.0,37.1,63.3,22.0,71.7,Pass,Successful,Successful,False,False,False,False,16.9,2.80,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""22.0""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.80""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""71.7""}]"
1913884,9,0,37.0,0,1,63,236511.0,22.0,69.5,19.7,26.7,Pass,Successful,Successful,False,False,False,False,29.2,4.63,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""26.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""19.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.63""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""29.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913884,10,0,38.0,0,1,63,254582.0,20.2,25.5,34.8,5.6,Pass,Successful,Successful,False,False,False,False,20.4,5.56,[],False,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""20.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.56""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""34.8""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""5.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913884,11,0,42.0,0,1,63,434138.0,39.6,8.2,87.6,33.9,Pass,Unsuccessful,Unsuccessful,False,False,False,False,53.3,0.33,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""33.9""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""53.3""},{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""87.6""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.33""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913884,15,0,51.0,0,1,60,141044.0,10.8,57.3,23.8,75.6,Pass,Successful,Successful,False,False,False,False,18.5,0.74,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.74""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""23.8""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""75.6""},{""type"":{""value"":123,""displayName"":""KeeperThrow""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.5""}]"
1913884,16,0,58.0,0,1,60,347874.0,27.2,77.5,29.8,93.9,Pass,Successful,Successful,False,False,False,False,11.5,1.33,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""93.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""11.5""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""29.8""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.33""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913884,17,0,59.0,0,1,60,375342.0,29.8,93.9,23.1,80.2,Pass,Successful,Successful,False,False,False,False,11.7,4.07,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""11.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""80.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.07""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""23.1""}]"
1913884,18,1,1.0,1,1,60,347874.0,23.2,78.3,33.0,43.3,Pass,Unsuccessful,Unsuccessful,False,False,False,False,25.9,5.12,[],False,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""25.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""33.0""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.12""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""43.3""}]"
1913884,13,1,6.0,1,1,63,361732.0,63.9,54.4,56.2,47.6,Pass,Successful,Successful,False,False,False,False,9.3,3.66,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""47.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""56.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.66""}]"
1913884,14,1,7.0,1,1,63,379230.0,58.6,49.9,59.2,68.2,Pass,Successful,Successful,False,False,False,False,12.5,1.52,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.52""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""59.2""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""68.2""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""12.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913884,15,1,9.0,1,1,63,236511.0,59.4,72.5,67.0,73.8,Pass,Successful,Successful,False,False,False,False,8.0,0.11,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""67.0""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.11""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""8.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""73.8""}]"
1913884,16,1,13.0,1,1,63,365409.0,68.3,73.8,94.3,91.6,Pass,Successful,Successful,False,False,False,False,29.9,0.42,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""94.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.42""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""29.9""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""91.6""}]"
1913884,17,1,16.0,1,1,63,362779.0,97.4,90.3,100.0,37.6,Pass,Unsuccessful,Unsuccessful,False,False,True,False,36.1,4.82,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""100.0""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.82""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""36.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""37.6""},{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":2,""displayName"":""Cross""}}]"
1913884,20,1,47.0,1,1,60,141044.0,4.9,55.8,59.4,83.2,Pass,Successful,Successful,False,False,False,False,60.2,0.31,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""60.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.31""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""59.4""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""83.2""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":124,""displayName"":""GoalKick""}}]"
1913884,22,1,50.0,1,1,60,280060.0,59.5,82.6,70.4,75.8,Pass,Unsuccessful,Unsuccessful,False,False,False,False,12.3,5.90,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""75.8""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""12.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.90""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""70.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913884,21,1,54.0,1,1,63,367008.0,32.6,19.3,42.3,3.8,Pass,Successful,Successful,False,False,False,False,14.7,5.48,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""3.8""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.48""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.7""},{""type"":{""value"":3,""displayName"":""HeadPass""}}]"
1913884,22,1,56.0,1,1,63,379230.0,43.7,2.8,58.3,5.4,Pass,Successful,Successful,False,False,False,False,15.4,0.11,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""58.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.11""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""5.4""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""15.4""}]"
1913884,26,2,0.0,2,1,60,303268.0,45.4,97.7,50.6,77.7,Pass,Successful,Successful,False,False,False,False,14.7,5.09,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.09""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""50.6""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""77.7""}]"
1913884,27,2,4.0,2,1,60,444254.0,71.4,81.2,72.7,94.6,Pass,Successful,Successful,False,False,False,False,9.2,1.42,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""72.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.42""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.2""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""94.6""}]"
1913884,28,2,7.0,2,1,60,375342.0,75.0,94.8,71.7,83.1,Pass,Unsuccessful,Unsuccessful,False,False,False,False,8.7,4.30,[],False,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""8.7""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""71.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.30""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""83.1""}]"
1913884,27,2,11.0,2,1,63,422918.0,32.4,12.0,19.1,12.5,Pass,Successful,Successful,False,False,False,False,14.0,3.12,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""12.5""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""19.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.12""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""14.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913884,28,2,13.0,2,1,63,254582.0,14.7,14.8,5.8,41.8,Pass,Successful,Successful,False,False,False,False,20.6,2.04,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""20.6""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""41.8""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.04""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""5.8""}]"
