match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,qualifiers
1913896,3,0,31.0,0,1,2783,24400.0,73.4,90.4,Challenge,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""15""}]"
1913896,4,0,47.0,0,1,2783,478314.0,36.0,27.2,Aerial,Successful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""20""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913896,20,0,47.0,0,1,67,492362.0,64.0,72.8,Aerial,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""4""},{""type"":{""value"":286,""displayName"":""Offensive""}}]"
1913896,6,1,9.0,1,1,2783,135374.0,8.5,68.7,Interception,Successful,"[{""type"":{""value"":14,""displayName"":""LastMan""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913896,28,1,45.0,1,1,67,422956.0,81.5,10.5,BallRecovery,Successful,[]
1913896,13,1,48.0,1,1,2783,372473.0,30.3,65.1,BallRecovery,Successful,[]
1913896,19,2,16.0,2,1,2783,443540.0,41.6,2.4,Tackle,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""33""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]"
1913896,32,3,25.0,3,1,2783,25191.0,53.4,75.0,Aerial,Successful,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""41""}]"
1913896,41,3,25.0,3,1,67,388505.0,46.6,25.0,Aerial,Unsuccessful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""32""}]"
1913896,42,3,27.0,3,1,67,431509.0,33.2,29.4,Aerial,Successful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""34""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913896,34,3,27.0,3,1,2783,24400.0,66.8,70.6,Aerial,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""42""},{""type"":{""value"":286,""displayName"":""Offensive""}}]"
1913896,45,3,58.0,3,1,67,422956.0,7.1,43.6,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""5.3""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""21.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.62""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""12.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":15,""displayName"":""Head""}}]"
1913896,47,4,32.0,4,1,2783,132962.0,77.2,72.2,Aerial,Successful,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""48""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913896,48,4,32.0,4,1,67,388505.0,22.8,27.8,Aerial,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""47""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913896,52,5,27.0,5,1,2783,444242.0,12.3,54.1,BallRecovery,Successful,[]
1913896,65,5,35.0,5,1,67,422956.0,66.2,4.4,Tackle,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""53""},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913896,69,6,3.0,6,1,67,77417.0,45.7,28.8,BallRecovery,Successful,[]
1913896,57,6,27.0,6,1,2783,478314.0,20.0,16.3,Clearance,Successful,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.50""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""27.5""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""4.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""11.1""}]"
1913896,87,7,25.0,7,1,67,286080.0,35.9,88.9,BallRecovery,Successful,[]
1913896,67,8,19.0,8,1,2783,135374.0,14.9,88.6,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""31.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.05""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""82.3""}]"
1913896,70,8,31.0,8,1,2783,25191.0,28.1,75.1,BallRecovery,Successful,[]
1913896,111,8,40.0,8,1,67,381550.0,85.9,33.0,BallRecovery,Successful,[]
1913896,76,9,24.0,9,1,2783,135374.0,6.1,38.0,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""8.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""5.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""45.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.18""}]"
1913896,118,10,4.0,10,1,67,337022.0,33.5,6.9,Clearance,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.64""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""33.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""6.1""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""0.0""}]"
1913896,122,11,19.0,11,1,67,286080.0,7.0,82.6,Tackle,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""96""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913896,124,11,56.0,11,1,67,431509.0,6.4,47.3,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""28.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.10""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""23.5""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""41.1""}]"
1913896,102,12,5.0,12,1,2783,25191.0,58.3,51.0,BallRecovery,Successful,[]
1913896,130,12,49.0,12,1,67,286080.0,30.0,72.0,Clearance,Successful,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""12.9""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""61.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""40.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.72""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913896,131,12,51.0,12,1,67,422956.0,27.9,38.9,BallRecovery,Successful,[]
1913896,137,13,50.0,13,1,67,39187.0,8.5,42.8,BallRecovery,Successful,[]
1913896,122,14,10.0,14,1,2783,478314.0,29.6,18.6,Tackle,Successful,"[{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""142""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913896,123,14,14.0,14,1,2783,443540.0,35.1,11.8,BallRecovery,Successful,[]
1913896,845,18,1.0,18,1,2783,478314.0,34.5,15.4,Aerial,Successful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""740""}]"
1913896,740,18,1.0,18,1,67,408942.0,65.5,84.6,Aerial,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""845""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":286,""displayName"":""Offensive""}}]"
1913896,142,18,1.0,18,1,2783,478314.0,37.2,17.1,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""10.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""3.7""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.27""}]"
1913896,144,18,4.0,18,1,2783,372473.0,38.6,13.9,BallRecovery,Successful,[]
1913896,157,18,14.0,18,1,67,381550.0,40.5,78.4,BallRecovery,Successful,[]
1913896,149,18,39.0,18,1,2783,92691.0,21.0,29.7,BallRecovery,Successful,[]
1913896,164,18,45.0,18,1,67,431509.0,36.6,72.3,BallRecovery,Successful,[]
1913896,152,19,8.0,19,1,2783,104732.0,14.8,54.9,BallRecovery,Successful,[]
1913896,169,19,43.0,19,1,67,448284.0,29.9,9.6,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""33.5""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.86""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""4.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""7.1""}]"
1913896,166,20,25.0,20,1,2783,444239.0,19.6,15.6,BallRecovery,Successful,[]
1913896,175,21,42.0,21,1,2783,372473.0,42.2,59.1,BallRecovery,Successful,[]
1913896,182,22,38.0,22,1,67,431509.0,11.6,44.5,Clearance,Successful,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.58""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""40.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""6.0""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""41.3""}]"
1913896,184,23,59.0,23,1,67,422956.0,8.5,14.4,Challenge,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""194""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913896,186,24,7.0,24,1,67,431509.0,11.5,84.7,BallRecovery,Successful,[]
1913896,198,24,8.0,24,1,2783,372473.0,56.2,13.0,Tackle,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""188""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":178,""displayName"":""StandingSave""}}]"
1913896,196,24,10.0,24,1,2783,372473.0,57.8,12.1,Tackle,Successful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""189""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""}]"
1913896,199,24,45.0,24,1,2783,478314.0,25.0,49.5,BallRecovery,Successful,[]
1913896,195,24,57.0,24,1,67,395187.0,29.9,15.3,Clearance,Successful,"[{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.99""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""11.4""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""38.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913896,196,24,59.0,24,1,67,422956.0,38.2,10.6,BallRecovery,Successful,[]
1913896,198,25,4.0,25,1,67,448284.0,26.2,17.2,Challenge,Unsuccessful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""204""}]"
1913896,205,25,4.0,25,1,2783,135374.0,72.7,79.3,BallRecovery,Successful,[]
1913896,199,25,10.0,25,1,67,395187.0,6.0,16.0,Tackle,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""207""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":178,""displayName"":""StandingSave""}}]"
1913896,201,25,16.0,25,1,67,422956.0,13.9,17.2,BallRecovery,Successful,[]
1913896,209,25,35.0,25,1,2783,444239.0,31.3,7.9,BallRecovery,Successful,[]
