match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeValue,typeName,outcomeValue,outcomeName,relatedEventId,qualifiers
1913887,2,0,0,0,1,839,,0.0,0.0,,,32,Start,1,Successful,,[]
1913887,2,0,0,0,1,62,,0.0,0.0,,,32,Start,1,Successful,,[]
1913887,3,0,0,0,1,839,239872.0,50.0,50.0,26.1,59.3,1,Pass,1,Successful,,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""59.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.89""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""25.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""26.1""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913887,4,0,4,0,1,839,400826.0,26.1,59.3,92.6,81.0,1,Pass,0,Unsuccessful,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.21""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""92.6""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""81.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""71.4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""}]"
1913887,3,0,10,0,1,62,508331.0,4.7,17.0,0.0,19.5,12,Clearance,1,Successful,,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""19.5""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""0.0""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.87""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""6.4""}]"
1913887,801,0,14,0,1,839,445095.0,96.2,77.2,,,56,ShieldBallOpp,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913887,4,0,15,0,1,62,508331.0,1.6,19.9,,,6,CornerAwarded,0,Unsuccessful,,"[{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913887,5,0,15,0,1,839,400826.0,98.4,80.1,,,6,CornerAwarded,1,Successful,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""4""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":73,""displayName"":""MissLeft""}}]"
1913887,6,0,43,0,1,839,448211.0,99.5,99.5,98.4,49.7,1,Pass,0,Unsuccessful,,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""98.4""},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":6,""displayName"":""CornerTaken""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""5""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""33.9""},{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.68""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":2,""displayName"":""Cross""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""49.7""}]"
1913887,5,0,47,0,1,62,296723.0,2.6,47.5,,,11,Claim,1,Successful,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":88,""displayName"":""HighClaim""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""6""}]"
