match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913887,61,4,24,4,1,62,91242.0,82.1,35.0,,,MissedShots,Missed,,40.8,6.9,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""60""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40.8""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""6.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913887,92,7,42,7,1,62,91242.0,79.4,47.7,,,MissedShots,Missed,,54.8,68.1,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""54.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""68.1""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}}]"
1913887,181,17,20,17,1,62,459082.0,79.4,36.6,,,SavedShot,Saved,,48.8,19.0,,,"[{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""82.7""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""155""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""38.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":78,""displayName"":""LowCentre""}}]"
1913887,198,18,6,18,1,62,462768.0,72.6,44.2,,,SavedShot,Saved,,49.7,19.0,,,"[{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""197""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""77.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.7""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""45.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""161""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913887,295,32,51,32,1,839,448211.0,86.7,68.7,,,SavedShot,Saved,,48.6,2.5,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""349""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.9""},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""294""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.6""},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""52.5""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.5""}]"
1913887,390,35,51,35,1,62,429273.0,89.3,74.2,,,SavedShot,Saved,,50.4,29.7,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""29.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""389""},{""type"":{""value"":79,""displayName"":""HighCentre""}},{""type"":{""value"":64,""displayName"":""BoxLeft""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""50.4""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""311""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""53.1""},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913887,391,35,53,35,1,62,463588.0,87.8,32.5,,,MissedShots,Missed,,48.9,70.8,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""70.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.9""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":108,""displayName"":""Volley""}}]"
1913887,430,38,28,38,1,62,459082.0,86.4,30.7,,,SavedShot,Saved,,47.6,19.0,,,"[{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""88.0""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""429""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""332""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.6""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""32.7""}]"
1913887,468,39,5,39,1,62,463588.0,90.9,47.2,,,SavedShot,Saved,,49.7,19.0,,,"[{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""433""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""334""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""47.5""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":82,""displayName"":""Blocked""}}]"
1913887,375,42,26,42,1,839,239872.0,78.5,34.0,,,SavedShot,Saved,,52.1,3.8,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""472""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""48.2""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""374""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.1""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.8""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.5""}]"
