match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913893,18,0,59.0,0,1,70,79840.0,86.2,45.2,,,MissedShots,Missed,,48.2,73.6,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""17""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""73.6""},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.2""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913893,123,13,5.0,13,1,70,140772.0,80.2,42.7,,,SavedShot,Saved,,52.8,6.3,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""102""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""6.3""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.8""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.3""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":76,""displayName"":""LowLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""122""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.8""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913893,129,13,21.0,13,1,70,79840.0,89.9,55.2,,,SavedShot,Saved,,47.7,1.3,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""1.3""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""103""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""51.6""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""96.9""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""128""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.7""},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913893,146,15,26.0,15,1,70,362423.0,96.5,56.6,,,MissedShots,Missed,,62.5,45.8,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""45.8""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""62.5""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""145""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":61,""displayName"":""SmallBoxLeft""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":77,""displayName"":""HighLeft""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913893,149,20,2.0,20,1,131,98126.0,81.4,51.3,,,SavedShot,Saved,,52.3,3.2,,,"[{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.3""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""148""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""3.2""},{""type"":{""value"":23,""displayName"":""FastBreak""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""255""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""92.5""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""50.9""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":76,""displayName"":""LowLeft""}}]"
1913893,196,24,36.0,24,1,131,395321.0,79.9,60.5,,,MissedShots,Missed,,47.7,51.4,,,"[{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""47.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""51.4""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":26,""displayName"":""DirectFreekick""}}]"
1913893,251,29,53.0,29,1,131,548106.0,75.0,38.0,,,SavedShot,Saved,,46.6,19.0,,,"[{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":80,""displayName"":""LowRight""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""76.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""38.6""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""46.6""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""250""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""250""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913893,342,43,20.0,43,1,131,249960.0,90.2,43.7,,,MissedShots,Missed,,45.2,91.7,,,"[{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""91.7""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""45.2""},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":74,""displayName"":""MissHigh""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""341""}]"
1913893,355,45,1.0,45,1,70,79840.0,86.9,30.0,,,SavedShot,Saved,,48.9,19.0,,,"[{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""32.3""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""354""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""88.5""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""354""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":63,""displayName"":""BoxRight""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}}]"
1913893,362,46,13.0,46,1,70,140772.0,89.1,50.0,,,SavedShot,Saved,,49.4,5.7,,,"[{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""5.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""359""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.4""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""99.7""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""361""}]"
