match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,outcomeName,pass_outcome,is_key_pass,is_assist,is_cross,is_throughball,q_length,q_angle,related_shots,has_ws_assist_flag,qualifiers
1913904,3,0,0.0,0,1,65,261212.0,50.0,50.0,34.6,39.4,Pass,Successful,Successful,False,False,False,False,17.7,3.56,[],False,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.7""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.56""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""34.6""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""39.4""}]"
1913904,4,0,3.0,0,1,65,368091.0,36.7,40.9,85.0,94.1,Pass,Successful,Successful,False,False,False,False,62.3,0.62,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""94.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""62.3""},{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.62""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""85.0""}]"
1913904,5,0,5.0,0,1,65,300447.0,85.0,94.2,76.7,72.7,Pass,Unsuccessful,Unsuccessful,False,False,False,False,17.0,4.17,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.17""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.0""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""72.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""76.7""}]"
1913904,3,0,7.0,0,1,64,236575.0,24.5,35.8,2.7,53.1,Pass,Successful,Successful,False,False,False,False,25.7,2.67,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.67""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""2.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""53.1""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""25.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913904,5,0,10.0,0,1,64,303629.0,2.7,53.1,39.1,77.6,Pass,Successful,Successful,False,False,False,False,41.7,0.41,[],False,"[{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""77.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""39.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.41""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""41.7""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913904,6,0,13.0,0,1,64,135345.0,40.2,77.1,69.3,29.2,Pass,Successful,Successful,False,False,False,False,44.7,5.47,[],False,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""69.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.47""},{""type"":{""value"":155,""displayName"":""Chipped""}},{""type"":{""value"":1,""displayName"":""Longball""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""29.2""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""44.7""}]"
1913904,7,0,16.0,0,1,64,422959.0,69.3,29.2,65.6,24.0,Pass,Successful,Successful,False,False,False,False,5.3,3.88,[],False,"[{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""24.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""5.3""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""65.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":3,""displayName"":""HeadPass""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.88""}]"
1913904,8,0,19.0,0,1,64,386230.0,69.1,24.0,79.4,11.7,Pass,Successful,Successful,False,False,False,False,13.7,5.62,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""79.4""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.62""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""11.7""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""13.7""}]"
1913904,9,0,22.0,0,1,64,236575.0,80.2,12.7,91.8,33.9,Pass,Unsuccessful,Unsuccessful,False,False,False,False,18.9,0.87,[],False,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.87""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""91.8""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""33.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""18.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913904,7,0,32.0,0,1,65,422824.0,13.1,53.4,14.7,28.6,Pass,Successful,Successful,False,False,False,False,16.9,4.81,[],False,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.81""},{""type"":{""value"":123,""displayName"":""KeeperThrow""}},{""type"":{""value"":212,""displayName"":""Length""},""value"":""16.9""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""28.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""14.7""}]"
