match_id,team_side,team_id,team_name,player_id,player_name,isFirstEleven,position,shirtNo,height,weight,age,rating,isManOfTheMatch
1913904,home,64,Rayo Vallecano,303629,Augusto Batalla,True,GK,13,186,87,29,6.46,False
1913904,home,64,Rayo Vallecano,372331,Andrei Ratiu,True,DR,2,183,75,27,6.38,False
1913904,home,64,Rayo Vallecano,80758,Florian Lejeune,True,DC,24,189,89,34,6.31,False
1913904,home,64,Rayo Vallecano,294744,Luiz Felipe,True,DC,5,187,80,28,6.6,False
1913904,home,64,Rayo Vallecano,448468,Pep Chavarría,True,DL,3,174,72,27,6.04,False
1913904,home,64,Rayo Vallecano,386230,Jorge de Frutos,True,MR,19,173,72,28,6.74,False
1913904,home,64,Rayo Vallecano,422963,Pathé Ciss,True,MC,6,186,71,31,6.98,False
1913904,home,64,Rayo Vallecano,236575,Unai López,True,MC,17,170,68,29,5.54,False
1913904,home,64,Rayo Vallecano,135345,Álvaro García,True,ML,18,167,61,32,6.27,False
1913904,home,64,Rayo Vallecano,448514,Pedro Díaz,True,FW,4,180,75,27,6.4,False
1913904,home,64,Rayo Vallecano,422959,Isi Palazón,True,FW,7,169,71,30,7.46,False
1913904,home,64,Rayo Vallecano,444265,Fran Pérez,,Sub,21,175,68,22,6.9,False
1913904,home,64,Rayo Vallecano,372469,Sergio Camello,,Sub,10,177,69,24,5.94,False
1913904,home,64,Rayo Vallecano,422958,Óscar Valentín,,Sub,23,177,72,31,6.15,False
1913904,home,64,Rayo Vallecano,294123,Gerard Gumbau,,Sub,15,187,77,30,5.98,False
1913904,home,64,Rayo Vallecano,143655,Pacha Espino,,Sub,22,172,71,33,6.02,False
1913904,home,64,Rayo Vallecano,101613,Iván Balliu,,Sub,20,172,63,33,,False
1913904,home,64,Rayo Vallecano,16942,Óscar Trejo,,Sub,8,180,79,37,,False
1913904,home,64,Rayo Vallecano,505924,Jozhua Vertrouwd,,Sub,33,188,73,21,,False
1913904,home,64,Rayo Vallecano,386261,Dani Cárdenas,,Sub,1,186,80,28,,False
1913904,home,64,Rayo Vallecano,422960,Randy Nteka,,Sub,11,189,75,27,,False
1913904,home,64,Rayo Vallecano,531953,Pelayo Fernández,,Sub,27,190,83,22,,False
1913904,home,64,Rayo Vallecano,578016,Samu Becerra,,Sub,28,0,0,19,,False
1913904,away,65,Barcelona,422824,Joan García,True,GK,13,191,79,24,7.89,False
1913904,away,65,Barcelona,301019,Jules Koundé,True,DR,23,180,75,26,6.74,False
1913904,away,65,Barcelona,130331,Andreas Christensen,True,DC,15,187,82,29,6.64,False
1913904,away,65,Barcelona,368091,Eric García,True,DC,24,182,76,24,6.57,False
1913904,away,65,Barcelona,422938,Alejandro Balde,True,DL,3,175,69,21,6.65,False
1913904,away,65,Barcelona,279423,Frenkie de Jong,True,DMC,21,181,74,28,7.69,False
1913904,away,65,Barcelona,402197,Pedri,True,DMC,8,174,60,22,6.43,False
1913904,away,65,Barcelona,480249,Lamine Yamal,True,AMR,10,180,72,18,8.23,True
1913904,away,65,Barcelona,261212,Dani Olmo,True,AMC,20,179,72,27,6.32,False
1913904,away,65,Barcelona,300447,Raphinha,True,AML,11,176,68,28,6.53,False
1913904,away,65,Barcelona,349760,Ferran Torres,True,FW,7,184,77,25,6.14,False
1913904,away,65,Barcelona,29400,Robert Lewandowski,,Sub,9,185,81,37,5.97,False
1913904,away,65,Barcelona,463838,Fermín López,,Sub,16,174,64,22,6.28,False
1913904,away,65,Barcelona,512879,Gerard Martín,,Sub,18,186,76,23,6.29,False
1913904,away,65,Barcelona,300299,Marcus Rashford,,Sub,14,180,70,27,6.23,False
1913904,away,65,Barcelona,73379,Wojciech Szczesny,,Sub,25,195,90,35,,False
1913904,away,65,Barcelona,454343,Marc Casadó,,Sub,17,172,66,21,,False
1913904,away,65,Barcelona,498386,Pau Cubarsí,,Sub,5,184,75,18,,False
1913904,away,65,Barcelona,497922,Diego Kochen,,Sub,31,188,80,19,,False
1913904,away,65,Barcelona,384711,Ronald Araujo,,Sub,4,188,79,26,,False
1913904,away,65,Barcelona,534797,Toni Fernández,,Sub,29,175,75,17,,False
1913904,away,65,Barcelona,572374,Jofre Torrents,,Sub,26,0,0,18,,False
1913904,away,65,Barcelona,572375,Dro Fernández,,Sub,27,0,0,17,,False
