match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,typeName,outcomeName,qualifiers
1913902,3,0,15.0,0,1,53,414643.0,67.4,23.3,BallRecovery,Successful,[]
1913902,10,0,19.0,0,1,54,489232.0,23.8,76.9,Interception,Successful,"[{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913902,6,0,29.0,0,1,53,414643.0,67.8,14.8,Tackle,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""14""},{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""}]"
1913902,13,0,30.0,0,1,54,382631.0,31.7,83.9,BallRecovery,Successful,[]
1913902,7,0,37.0,0,1,53,414643.0,66.7,11.9,Challenge,Unsuccessful,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""17""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Right""}]"
1913902,8,0,38.0,0,1,53,511120.0,60.3,22.5,Tackle,Successful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""18""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]"
1913902,37,1,54.0,1,1,54,489232.0,36.9,5.4,Clearance,Successful,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.67""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""0.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""7.3""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""42.6""}]"
1913902,39,2,29.0,2,1,54,402206.0,30.6,71.8,Interception,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":15,""displayName"":""Head""}}]"
1913902,40,2,30.0,2,1,54,402206.0,33.7,85.3,BallRecovery,Successful,[]
1913902,45,3,1.0,3,1,54,362501.0,76.0,12.0,BallRecovery,Successful,[]
1913902,25,3,2.0,3,1,53,408449.0,21.5,87.9,Tackle,Successful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""46""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913902,26,3,4.0,3,1,53,408449.0,19.3,93.2,BallRecovery,Successful,[]
1913902,29,3,13.0,3,1,53,422820.0,13.8,35.8,Clearance,Successful,"[{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""8.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""10.7""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""22.9""},{""type"":{""value"":15,""displayName"":""Head""}},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.11""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913902,31,3,17.0,3,1,53,357839.0,13.0,1.9,Tackle,Successful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""48""}]"
1913902,49,3,23.0,3,1,54,382631.0,83.8,91.8,Tackle,Unsuccessful,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""40""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":286,""displayName"":""Offensive""}}]"
1913902,52,3,29.0,3,1,54,351252.0,54.3,91.8,Tackle,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""34""},{""type"":{""value"":285,""displayName"":""Defensive""}}]"
1913902,53,3,31.0,3,1,54,489232.0,44.9,88.7,BallRecovery,Successful,[]
1913902,37,4,15.0,4,1,53,255182.0,8.3,13.9,BallRecovery,Successful,[]
1913902,66,4,19.0,4,1,54,382631.0,85.0,96.2,Interception,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""}]"
1913902,73,5,17.0,5,1,54,362501.0,46.5,79.9,BallRecovery,Successful,[]
1913902,46,5,23.0,5,1,53,408449.0,44.3,93.4,BallRecovery,Successful,[]
1913902,77,5,35.0,5,1,54,83686.0,9.4,44.4,Clearance,Successful,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""17.5""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""19.2""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""12.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.92""},{""type"":{""value"":15,""displayName"":""Head""}}]"
1913902,49,5,38.0,5,1,53,56057.0,87.2,81.2,Aerial,Successful,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""78""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""}]"
1913902,78,5,38.0,5,1,54,545675.0,12.8,18.8,Aerial,Unsuccessful,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""49""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]"
1913902,84,6,22.0,6,1,54,362501.0,61.2,25.5,BallRecovery,Successful,[]
1913902,61,6,25.0,6,1,53,511120.0,29.7,63.8,BallRecovery,Successful,[]
1913902,63,7,16.0,7,1,53,402663.0,9.3,65.1,Clearance,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""13.6""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.58""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""9.2""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""85.1""}]"
1913902,68,8,5.0,8,1,53,238899.0,66.2,47.7,Aerial,Successful,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""101""}]"
