match_id,eventId,minute,second,expandedMinute,period,teamId,playerId,x,y,endX,endY,typeName,shot_outcome,related_pass_eventId,goal_mouth_y,goal_mouth_z,q_length,q_angle,qualifiers
1913902,5,0,24.0,0,1,53,238899.0,77.7,37.8,,,SavedShot,Saved,,49.1,19.0,,,"[{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""81.1""},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""11""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""39.5""},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.1""}]"
1913902,119,10,57.0,10,1,53,56057.0,67.8,54.2,,,MissedShots,Missed,,42.2,4.2,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""42.2""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""4.2""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""118""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":215,""displayName"":""IndividualPlay""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
1913902,146,13,53.0,13,1,54,303908.0,90.1,38.0,,,MissedShots,Missed,,60.7,9.7,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""9.7""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""60.7""},{""type"":{""value"":73,""displayName"":""MissLeft""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}}]"
1913902,179,16,21.0,16,1,53,255182.0,94.9,67.7,,,SavedShot,Saved,,49.0,2.5,,,"[{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.5""},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""98.9""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.0""},{""type"":{""value"":65,""displayName"":""DeepBoxLeft""}},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""178""},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""55.1""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""181""}]"
1913902,192,18,13.0,18,1,53,255182.0,85.3,62.6,,,SavedShot,Saved,,48.7,0.6,,,"[{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""0.6""},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""48.7""},{""type"":{""value"":214,""displayName"":""BigChance""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":89,""displayName"":""OneOnOne""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""57.6""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""197""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""191""},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""91.2""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}}]"
1913902,193,18,16.0,18,1,53,381510.0,72.9,54.4,,,MissedShots,Missed,,40.3,2.8,,,"[{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40.3""},{""type"":{""value"":75,""displayName"":""MissRight""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""2.8""},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":20,""displayName"":""RightFoot""}}]"
1913902,225,20,21.0,20,1,54,551186.0,85.3,37.8,,,MissedShots,Missed,,52.9,54.2,,,"[{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""224""},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":17,""displayName"":""BoxCentre""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""52.9""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""54.2""}]"
1913902,242,23,36.0,23,1,53,414643.0,80.0,63.8,,,MissedShots,Missed,,41.8,72.2,,,"[{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""41.8""},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""72.2""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":25,""displayName"":""FromCorner""}},{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}}]"
1913902,277,26,35.0,26,1,53,255182.0,86.2,64.4,,,MissedShots,Missed,,40.3,95.8,,,"[{""type"":{""value"":20,""displayName"":""RightFoot""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""276""},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""40.3""},{""type"":{""value"":81,""displayName"":""HighRight""}},{""type"":{""value"":154,""displayName"":""IntentionalAssist""}},{""type"":{""value"":29,""displayName"":""Assisted""}},{""type"":{""value"":22,""displayName"":""RegularPlay""}},{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""95.8""},{""type"":{""value"":64,""displayName"":""BoxLeft""}}]"
1913902,282,30,57.0,30,1,54,551186.0,80.5,49.5,,,SavedShot,Saved,,49.9,19.0,,,"[{""type"":{""value"":328,""displayName"":""FirstTouch""}},{""type"":{""value"":102,""displayName"":""GoalMouthY""},""value"":""49.9""},{""type"":{""value"":78,""displayName"":""LowCentre""}},{""type"":{""value"":108,""displayName"":""Volley""}},{""type"":{""value"":103,""displayName"":""GoalMouthZ""},""value"":""19""},{""type"":{""value"":18,""displayName"":""OutOfBoxCentre""}},{""type"":{""value"":72,""displayName"":""LeftFoot""}},{""type"":{""value"":55,""displayName"":""RelatedEventId""},""value"":""281""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""291""},{""type"":{""value"":24,""displayName"":""SetPiece""}},{""type"":{""value"":146,""displayName"":""BlockedX""},""value"":""86.8""},{""type"":{""value"":82,""displayName"":""Blocked""}},{""type"":{""value"":147,""displayName"":""BlockedY""},""value"":""49.6""},{""type"":{""value"":29,""displayName"":""Assisted""}}]"
