jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,partidos_jugados,partidos_titular,minutos,partidos_completos_90,goles,asistencias,goles_asistencias,goles_sin_penalti,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,xg,npxg,xg_asistencias,npxg_xg_asistencias,conducciones_progresivas,pases_progresivos,pases_progresivos_recibidos,goles_por90,asistencias_por90,goles_asistencias_por90,goles_penalti_por90,goles_asistencias_penalti_por90,xg_por90,xg_asistencias_por90,xg_xg_asistencias_por90,npxg_por90,npxg_xg_asistencias_por90,season,tiros,tiros_a_puerta,porc_tiros_a_puerta,tiros_por90,tiros_a_puerta_por90,goles_por_tiro,goles_por_tiro_a_puerta,dist_media_tiro,tiros_libres,npxg_por_tiro,xg_neto,npxg_neto,pases_completados,pases,porc_precision_pase,dist_total_pases,dist_progresiva_pases,pases_cortos_completados,pases_cortos,porc_precision_pase_corto,pases_medios_completados,pases_medios,porc_precision_pase_medio,pases_largos_completados,pases_largos,porc_precision_pase_largo,xa_modelado,xg_asistencias_neto,tiros_asistidos,pases_tercio_final,pases_area,centros_area,pases_en_juego,pases_balon_parado,pases_tiro_libre,pases_al_hueco,cambios_de_juego,centros,saques_de_banda,saques_de_esquina,esquinas_hacia_adentro,esquinas_hacia_fuera,esquinas_rectas,pases_fuera_de_juego,pases_bloqueados,doble_amarilla,faltas_cometidas,faltas_recibidas,fueras_de_juego,intercepciones,entradas_ganadas,penaltis_ganados,penaltis_concedidos,autogoles,recuperaciones,duelos_aereos_ganados,duelos_aereos_perdidos,porc_duelos_aereos_ganados,entradas,entradas_tercio_defensivo,entradas_tercio_medio,entradas_tercio_ofensivo,regates_parados,regates_enfrentados,porc_regates_parados,regates_no_parados,bloqueos,tiros_bloqueados,entradas_mas_intercepciones,despejes,errores,toques,toques_area_propia,toques_tercio_defensivo,toques_tercio_medio,toques_tercio_ofensivo,toques_area_rival,toques_en_juego,regates_intentados,regates_exitosos,porc_regates_exitosos,regates_no_exitosos,porc_regates_no_exitosos,conducciones,distancia_conducciones,distancia_conducciones_progresivas,conducciones_tercio_final,conducciones_area,malos_controles,perdidas,pases_recibidos,stint_id
Marc Bartra,ESP,DF,Betis,La Liga,0.0,1991.0,4,4,360.0,4.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,7,0,0.25,0.0,0.25,0.25,0.25,0.02,0.0,0.02,0.02,0.02,2025-2026,2,1,50.0,0.5,0.25,0.5,1.0,22.7,0,0.04,0.9,0.9,181,202,89.6,3735,1273,58,61,95.1,88,91,96.7,30,43,69.8,0.0,0.0,1,13,0,0,185,17,14,0,4,0,0,0,0,0,0,0,2,0,1,4,0,5,6,0,0,1,17,9,7,56.3,11,6,4,1,4,9,44.4,5,7,5,16,27,1,263,51,150,101,12,1,263,2,0,0.0,1,50.0,131,755,453,6,0,4,1,153,73571d810e5a3c7d11b3f058e8511344
Natan,BRA,DF,Betis,La Liga,0.0,2001.0,4,4,360.0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2025-2026,1,0,0.0,0.25,0.0,0.0,0.0,34.7,0,0.01,0.0,0.0,153,184,83.2,2816,972,58,59,98.3,79,95,83.2,14,27,51.9,0.0,0.0,1,7,0,0,176,7,4,0,1,0,1,0,0,0,0,1,0,0,5,2,0,3,1,0,0,0,15,11,8,57.9,2,1,1,0,0,1,0.0,1,2,0,5,26,0,223,29,134,84,6,2,223,0,0,0.0,0,0.0,116,584,289,0,0,4,1,143,2f64ae2ca65137a9d4d2c38df2d644c4
Pablo Fornals,ESP,MF,Betis,La Liga,0.0,1996.0,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,2,29,12,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,2025-2026,2,0,0.0,0.5,0.0,0.0,0.0,28.6,0,0.01,0.0,0.0,206,241,85.5,3581,1203,99,103,96.1,69,83,83.1,26,36,72.2,0.2,-0.3,4,35,4,1,230,10,7,0,6,7,0,3,0,2,0,1,4,0,4,7,2,5,4,0,0,0,26,2,1,66.7,6,0,4,2,2,6,33.3,4,0,0,11,6,0,271,6,47,170,55,1,271,3,2,66.7,1,33.3,166,710,308,2,0,5,4,204,b155898f5ea3233a040e106e40717c1d
Giovani Lo Celso,ARG,MF,Betis,La Liga,0.0,1996.0,4,4,351.0,3.9,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,2,17,13,0.26,0.26,0.51,0.26,0.51,0.21,0.15,0.36,0.21,0.36,2025-2026,6,3,50.0,1.54,0.77,0.17,0.33,19.8,1,0.13,0.2,0.2,187,218,85.8,2839,813,100,105,95.2,47,56,83.9,20,32,62.5,0.5,0.4,8,20,8,3,180,37,23,2,3,15,0,12,6,3,0,1,3,0,2,11,0,0,4,0,0,0,13,3,1,75.0,6,4,1,1,2,6,33.3,4,2,0,6,0,0,247,2,21,134,96,6,247,10,4,40.0,4,40.0,134,486,224,5,1,10,8,186,309c34b609f765000890b823b553bc72
Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,4,4,341.0,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,185,203,91.1,2985,629,95,101,94.1,69,75,92.0,15,19,78.9,0.2,-0.1,3,16,0,0,194,9,8,0,0,1,1,0,0,0,0,0,1,0,3,5,0,9,8,0,0,0,20,5,2,71.4,15,6,8,1,5,8,62.5,3,5,3,24,7,0,246,11,79,147,26,2,246,2,1,50.0,1,50.0,121,594,283,6,1,4,0,158,2eb2fd6931e36480921aeeec4f1ee9ed
Cucho,COL,FW,Betis,La Liga,0.0,1999.0,4,4,328.0,3.6,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,5,5,21,0.0,0.0,0.0,0.0,0.0,0.22,0.13,0.35,0.22,0.35,2025-2026,12,0,0.0,3.29,0.0,0.0,0.0,17.3,1,0.07,-0.8,-0.8,58,83,69.9,900,198,32,42,76.2,8,13,61.5,9,14,64.3,0.2,-0.5,4,4,1,0,78,5,0,0,4,5,0,0,0,0,0,0,2,0,7,6,4,1,2,0,0,0,7,3,7,30.0,4,2,1,1,1,1,100.0,0,4,0,5,4,0,132,5,13,61,60,17,132,13,6,46.2,5,38.5,89,367,143,2,2,17,11,105,a48e29ad147680703849b5be4d32cb25
Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,0.0,2003.0,4,3,286.0,3.2,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,5,30,6,0.0,0.31,0.31,0.0,0.31,0.0,0.23,0.23,0.0,0.23,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,238,268,88.8,4233,1513,100,104,96.2,122,133,91.7,14,25,56.0,0.5,0.3,8,35,2,0,244,22,11,2,2,13,1,10,4,5,0,2,1,0,5,2,0,3,5,0,0,0,20,0,0,0.0,9,4,3,2,5,7,71.4,2,4,2,12,4,0,290,6,52,188,51,1,290,0,0,0.0,0,0.0,170,813,447,6,1,1,3,210,e46b4a539e4db68d818d055f88794601
Ilaix Moriba,GUI,MF,Celta Vigo,La Liga,0.0,2003.0,4,3,291.0,3.2,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.6,4,15,12,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.2,0.12,0.2,2025-2026,4,1,25.0,1.24,0.31,0.0,0.0,27.0,0,0.09,-0.4,-0.4,120,132,90.9,1920,449,54,57,94.7,60,66,90.9,4,4,100.0,0.3,-0.3,2,13,3,0,129,3,2,1,0,1,1,0,0,0,0,0,3,0,3,6,0,3,8,0,0,0,13,1,0,100.0,17,9,6,2,6,12,50.0,6,2,0,20,1,1,168,3,31,99,38,4,168,3,0,0.0,3,100.0,88,407,171,2,1,4,4,126,54f41d7de264fef5744ad3fc2072eedf
Javi Rodríguez,ESP,DF,Celta Vigo,La Liga,0.0,2003.0,4,3,282.0,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,18,8,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,2025-2026,1,0,0.0,0.32,0.0,0.0,0.0,10.0,0,0.15,-0.1,-0.1,229,250,91.6,3994,966,86,88,97.7,136,139,97.8,7,21,33.3,0.1,0.0,1,19,3,0,243,7,5,1,2,0,2,0,0,0,0,0,1,0,4,3,1,0,3,0,0,0,8,1,5,16.7,6,4,1,1,4,5,80.0,1,1,1,6,14,2,279,22,86,165,28,5,279,2,0,0.0,2,100.0,152,495,297,2,0,2,2,225,52b7ed9b3f4f9aff67980a87e1ad95cc
Nicolas Cozza,FRA,DF,Nantes,Ligue 1,0.0,1999.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2025-2026,1,0,0.0,0.33,0.0,0.0,0.0,24.5,0,0.03,0.0,0.0,81,111,73.0,1562,656,28,35,80.0,43,49,87.8,9,22,40.9,0.0,0.0,0,1,0,0,78,32,5,0,0,2,27,0,0,0,0,1,3,0,3,4,0,2,1,0,0,0,8,2,3,40.0,2,2,0,0,1,4,25.0,3,3,3,4,16,0,143,20,85,46,14,0,143,5,4,80.0,0,0.0,61,394,228,1,0,3,0,65,1e327688d1c528ae670ae12739d1d9e1
